Reference,ID,Tags,Quote,Occurrence,Question,Response
1:2,bqk7,,,0,How was Ahaziah injured?,"Ahaziah fell down through the lattice in his upper chamber in Samaria, and was injured."
1:4,hr4a,,,0,Why was Ahaziah going to certainly die?,"Because Ahaziah consulted with Baal Zebub, the god of Ekron, he would certainly die."
1:8,j52s,,,0,What did Elijah wear?,"Elijah wore a garment made of hair, and he had a leather belt wrapped around his waist."
1:10,euap,,,0,What consumed the captain and his fifty men?,"A fire came down from heaven, called by Elijah, and it consumed the captain and his fifty men."
1:13,cetj,,,0,How did the third captain approach Elijah?,"The third captain went up, fell on his knees before Elijah, and begged him to value his life and the lives of his men."
1:17,dame,,,0,Why did Joram begin to reign in the place of Ahaziah?,Joram began to reign in his place because Ahaziah had no son.
2:1,cfgb,,,0,When did Elijah leave with Elisha from Gilgal?,"When Yahweh was going to take up Elijah by a whirlwind into heaven, Elijah left with Elisha from Gilgal."
2:3,z3s8,,,0,How did Elisha answer when the sons of the prophets told him that Yahweh would take his master from him?,"Elisha answered, “Yes, I know it, but do not talk about it.”"
2:8,fc67,,,0,Why did the river divide on both sides?,"Because Elijah took his cloak, rolled it up, and struck the water with it, the river divided on both sides."
2:9,v4jq,,,0,For what did Elisha ask?,Elisha asked for a double portion of Elijah’s spirit to come on him.
2:11,nvuc,,,0,How did Elijah go up into heaven?,Elijah went up by a whirlwind into heaven.
2:14,vama,,,0,What happened when Elisha struck the waters with Elijah’s cloak?,"When Elisha had struck the waters, they divided on both sides and Elisha crossed over."
2:16,zvjk,,,0,What did the sons of the prophets want fifty strong men to do?,"They wanted fifty strong men to go and look for Elisha’s master, in case the Spirit of Yahweh had taken him up and thrown him onto some mountain or into some valley."
2:17,e9v6,,,0,For how long did the fifty men search for Elijah?,The fifty men searched for three days.
2:19,v2o7,,,0,What was the problem at Jericho?,The water was bad and the land was not fruitful.
2:21-22,hy5b,,,0,How was the water healed?,Elisha went out to the spring of water and threw salt in it.
2:23-24,vqp5,,,0,"When some boys mocked Elisha, what curse happened to them?","When some boys mocked Elisha, two female bears came out of the woods and mauled forty-two of the boys."
3:2,w8dh,,,0,How was Joram’s evil different from the evil of his father and his mother?,"Joram’s evil was not like his father and his mother, for he removed the sacred stone pillar of Baal that his father had made."
