Reference,ID,Tags,Quote,Occurrence,Question,Response
1:1,zb7r,,,0,"Why was Solomon, the son of David, strengthened in his rule?",Solomon was strengthened in his rule because Yahweh was with him and made him very powerful.
1:2-5,nklm,,,0,What items were present for worship as Solomon went to the shrine that was at Gibeon?,"There was the tent of meeting or tabernacle which Moses made in the wilderness, and the bronze altar that Bezalel had made, but the ark of God had been taken from Kiriath Jearim to a tent in Jerusalem."
1:6-7,iwdq,,,0,"What did Solomon do before Yahweh approached him with the question, “What should I give you”?",Solomon worshipped Yahweh at the bronze altar by offering one thousand burnt offerings.
1:8-10,rzo4,,,0,Why did Solomon ask Yahweh to give him wisdom and knowledge?,Solomon asked Yahweh to give him wisdom and knowledge so that he could lead the people of Israel who were many in number.
1:11,rwjb,,,0,Why did God give Solomon wisdom and knowledge?,"God gave Solomon wisdom and knowledge because he did not ask for riches, wealth, honor, the death of those who hated him nor long life for himself, but for God’s help in ruling over his people."
1:12,yzhh,,,0,What did God give to Solomon along with wisdom and knowledge?,"God gave Solomon what he did not ask for: riches, wealth, and honor above any of the kings before him."
1:14-15,nira,,,0,In what ways was the wealth of Solomon seen by all?,"Solomon had 1,400 chariots and twelve thousand horsemen, silver and gold were as common as stone, and cedar wood was as common as the sycamore trees in the lowlands."
2:1-3,ktex,,,0,Why did Solomon ask Hiram to send him cedar logs as he did for his father David?,Solomon asked Hiram to send him cedar logs so he could build a house for Yahweh’s name and a palace for his kingdom.
2:4-5,haek,,,0,Why did Solomon plan to build a house for the name of Yahweh that would be very large?,Solomon planned to build a large house for the name of Yahweh because his God was greater than all other gods.
2:7,l243,,,0,Who did Solomon need if he was to build a house for the name of Yahweh which reflected Yahweh’s greatness?,"Solomon needed a man who was skilled at work in gold, sliver, bronze, iron, and in purple, crimson, blue wool and who could make all kinds of engraved wood."
2:8-9,gwe3,,,0,"Why did Solomon want Hiram to send him cedar, fir, and algum trees from Lebanon?",Solomon wanted Hiram to send these trees to him so that the house which he would build for the name of Yahweh would be great and marvelous.
2:11-12,l6pc,,,0,"According to Hiram, why did Yahweh make Solomon the king over the people of Israel?","According to Hiram, Yahweh made Solomon the king because Yahweh loved his people and Solomon was gifted with prudence and understanding."
2:13-14,k7lh,,,0,Why did Hiram send Huramabi to Solomon?,"Hiram sent Hurambi because he was skilled at work in gold, silver, bronze, iron, stone, and in timber, and in purple, blue, crimson wool, and fine linen as well as in making any kind of engravings."
2:16,g8bt,,,0,How was it possible for the wood from Lebanon to be taken to Israel?,The wood from Lebanon was taken to Israel as rafts by sea to Joppa and then carried up to Jerusalem.
3:1-2,s6s9,,,0,Why did Solomon begin to build the house of Yahweh at the threshing floor of Ornan the Jebusite on Mount Moriah?,Solomon began to build the house of Yahweh there because that was where Yahweh had appeared to David his father.
3:3,xnho,,,0,What were the dimensions of the foundation which Solomon laid for the house of God?,"The dimensions of the foundation for the house of God was sixty cubits long and twenty cubits wide, using the old style cubit."
3:4,v5f0,,,0,How high was the portico at the front of the house?,The portico was twenty cubits.
3:8-9,v55m,,,0,What was used to overlay the most holy place?,The most holy place was overlaid with fine gold.
3:15-17,r6km,,,0,What did Solomon put on the two pillars in front of the house of God?,Solomon joined one hundred pomegranates to the chains which he placed on top of the pillars.
4:1,sgpt,,,0,What were the dimensions for the altar of bronze?,"The altar of bronze was twenty cubits long, twenty cubits wide, and ten cubits high."
4:2,tn6r,,,0,How big was the round sea of cast metal?,The round sea was ten cubits from brim to brim. It was five cubits high and thirty cubits in circumference.
4:6,f4g8,,,0,What was the purpose of the sea which Solomon built for the temple?,The sea was for the priests to wash in.
4:7,kt9p,,,0,How did Solomon know how to make the ten lampstands of gold?,Solomon made the ten lampstands of gold from the instructions for their design.
4:12-13,edo8,,,0,What was the work which Huram finished for King Solomon in the house of God?,"Huram finished the work on the two pillars, the bowls, the decorative latticework, and the four hundred pomegranates."
4:14-16,u3ig,,,0,What did Huramabi make of polished bronze for King Solomon for the house of Yahweh?,"Huramabi made the stands and the basins, one sea and the twelve bulls under it, and many implements."
4:18,alzj,,,0,What was the weight of the bronze for all of the vessels Solomon made?,The weight of the bronze all the vessels Solomon made could not be known.
4:20,wnts,,,0,What were the lampstands with their lamps that were designed to burn before the inner room made of?,The lampstand with their lamps were made of pure gold.
5:1,ddp2,,,0,Where did Solomon put the things which David had dedicated to God?,"Solomon put all the things including the silver, gold, and all the furnishings, into the storerooms of the house of God."
5:2-3,fngl,,,0,What did Solomon decide to do next?,Solomon assembled the leaders of Israel to bring up the ark of the covenant of Yahweh from the city of David.
5:4-6,plzj,,,0,What did King Solomon and all the assembly of Israel do when the Levites brought up the ark of the covenant?,King Solomon and all the assembly of Israel came together sacrificing many sheep and oxen.
5:7-8,c7pc,,,0,Where did the priests place the ark of the covenant of Yahweh?,The priests placed the ark of the covenant of Yahweh in the most holy place under the wings of the cherubim.
5:9-10,zd2s,,,0,What items were in the ark of the covenant?,There was nothing in the ark of the covenant except the two tablets that Moses had put there at Horeb.
5:11-12,o7wd,,,0,What did all the Levites do after the priests came out of the holy place?,"The Levites, who were clothed in fine linen, stood at the east end of the altar playing cymbals, harps, and lyres."
5:13,s5yi,,,0,How did the trumpeters and singers praise Yahweh?,"The trumpeters and singers made music together, singing, “For he is good, for his covenant loyalty endures forever.”"
5:14,ypkp,,,0,Why were the priests unable to stand in order to serve?,"The priests could not stand because the cloud, which was the glory of Yahweh, filled Yahweh’s house."
6:1-2,auz2,,,0,How had Solomon improved the place where Yahweh would live?,"Yahweh had said he would live in thick darkness, but Solomon built him a lofty residence in which he would live forever."
6:4-6,bazr,,,0,Where did Yahweh finally decide to live and whom did he chose to rule over Israel?,"Yahweh had chosen no city in which to build his house nor any man to be prince over Israel, but he then chose Jerusalem as the city and David to be over Israel."
6:7-9,h15u,,,0,What did Yahweh say to David to keep him from fulfilling the desire of his heart?,"Yahweh had told David, “It was in your heart to build a house for my name, but your son will build it instead.”"
6:10-11,egby,,,0,How did Yahweh carry out the word that he had spoken?,"Yahweh carried out the word he had spoken by having Solomon sit on David’s throne, build the house for the name of Yahweh, and place the ark within it."
6:12-13,vz0f,,,0,How did Solomon stand before the altar of Yahweh?,"Solomon stood on a bronze platform, knelt down before all the assembly of Israel, and spread out his hands toward the heavens."
6:14-15,mx1r,,,0,What does Yahweh do for the servants who walk before him with all their heart?,Yahweh keeps covenant and covenant faithfulness with his servants who walk before him with all their heart.
6:16-17,qlq0,,,0,What is the promise which Yahweh made to his servant David?,Yahweh told David that he would not fail to have a man from his tribe sit on the throne of Israel if his descendants were careful to walk in Yahweh’s law.
6:19-20,xx15,,,0,What was the basic request which Solomon made of Yahweh?,Solomon requested that Yahweh listen to his cry and prayer so that his eyes would be open on the temple day and night.
6:21,qb4z,,,0,"What did Solomon want Yahweh, the God of Israel, to do after Yahweh listened to the requests of Solomon and the people of Israel?",Solomon wanted Yahweh to forgive.
6:22-23,siaa,,,0,How could a righteous man be declared innocent if he was charged with sinning against his neighbor?,A righteous man could be declared innocent by swearing an oath before the altar in Yahweh’s house.
6:24-25,pige,,,0,What did the people of Israel need to do when they had been defeated by an enemy because they had sinned against Yahweh?,"The people of Israel needed to turn back to Yahweh by confessing his name, praying, and requesting forgiveness before him in the temple."
6:26-27,aem3,,,0,How should the people of Israel respond when the skies are shut up and there is no rain because they have sinned against Yahweh?,"The people of Israel should pray toward the temple, confess Yahweh’s name, and turn from their sin so that rain would fall on their land."
6:28-31,doop,,,0,What were some of the conditions where people in Israel needed Yahweh to listen to their prayers and forgive them for their sins?,"The people in Israel needed Yahweh to listen to their prayers when there was famine, disease, blight or mildew, locusts or caterpillars, when enemies attacked the city gates, or if there was any plague or sickness."
6:32-33,uok3,,,0,Why should Yahweh do what the foreigner asks of him when he came and prayed toward Yahweh’s house?,"Yahweh should do what the foreigner asked of him so that all the people groups on earth might know Yahweh’s name, fear him, and know the house which is called by his name."
6:36-39,dl68,,,0,What request did Solomon make of Yahweh?,"Solomon requested that Yahweh would listen to the confession of the people of Israel and forgive them of their sins after they had sinned, been taken captive to the land of their enemy, and repented of their sins."
6:40-42,akfu,,,0,What did Solomon want Yahweh to do?,"Solomon wanted Yahweh to be attentive to the prayers of the people, clothe his priests with salvation, and let his saints rejoice in his goodness."
7:1,i0ah,,,0,What happened when Solomon finished his prayer to Yahweh?,"When Solomon finished his prayer, fire came down from heaven to consume the burnt offerings and sacrifices, and the glory of Yahweh filled the house."
7:3,thpo,,,0,What was the response of the people of Israel when the fire came down and the glory of Yahweh filled the house?,"The people of Israel bowed with their faces to the ground, worshiped, and gave thanks to Yahweh."
7:4-5,of14,,,0,Why did King Solomon and all the people offer sacrifices to Yahweh?,King Solomon and the people offered sacrifices to Yahweh to dedicate the house of God.
7:7,ot1s,,,0,Why did Solomon offer burnt offerings and the fat of the fellowship offerings in the middle of the courtyard?,"The burnt offerings and the fat of the fellowship offerings were offered by Solomon in the middle of the courtyard because the bronze altar he made was not able to hold the burnt offerings, the grain offerings, and the fat."
7:8-10,hovo,,,0,Why was Solomon able to send the people of Israel away to their homes with glad and joyful hearts after the festival?,"The people were sent away by Solomon with glad and joyful hearts because of the goodness that Yahweh had shown to David, Solomon, and his people Israel."
7:11,kchr,,,0,What was carried out by Solomon in the house of Yahweh and in Solomon’s own house?,Everything was carried out that came into Solomon’s heart to do in the house of Yahweh and in his own house.
7:14,ka47,,,0,"What did the people of Israel need to do in order for Yahweh to hear their prayer, forgive their sin, and heal their land?","The people who were called by Yahweh’s name needed to humble themselves, pray, seek Yahweh’s face and turn from their wicked ways."
7:16,mwmj,,,0,Why did Yahweh choose and consecrate his house?,Yahweh chose and consecrated his house so that his name might be there forever.
7:17-18,arzn,,,0,What conditions did Yahweh set forth for the people of Israel to meet in order for a descendant of David to always be on the throne of his kingdom?,Yahweh said that the people of Israel must obey all that he had commanded them and keep his statutes and decrees.
7:19-20,nb5k,,,0,What would happen if the people of Israel would disobey Yahweh’s statutes and commandments and worship other gods?,"If the people of Israel would disobey Yahweh’s statues and commandments and worship other gods, then he would uproot them from the ground he had given them and the house he had consecrated and make them a joke among all the peoples."
7:21-22,uytt,,,0,What response would be given to the people who passed by the temple and were shocked at what Yahweh had done to the land and his house?,"The response would be that Yahweh had brought all this disaster upon the land and his house because his people disobeyed him and laid hold of other gods, bowing down to worship them."
8:1-2,nu46,,,0,What did Solomon do while he was building the house of Yahweh and his own house?,"During the time Solomon built the house of Yahweh and his own house, he was also rebuilding the towns which Hiram had given to him and he made the people of Israel live there."
8:6,v8b4,,,0,In general where and for what purpose did Solomon build?,"Solomon built for his own pleasure in Jerusalem, Lebanon, and in all the lands under his rule."
8:7-8,b5cm,,,0,What happened to the people of the land who did not belong to Israel?,Solomon made the people who did not belong to Israel forced laborers.
8:9-10,sxeo,,,0,What jobs did Solomon give the people of Israel?,"Solomon made the people of Israel his soldiers, his commanders, his officers, and the commanders of his chariot forces and horsemen."
8:11,bjvz,,,0,Why did Solomon bring the daughter of Pharaoh out of the city of David to a house he had built for her?,"Solomon brought the daughter of Pharaoh out of the city of David to a house, because the ark of Yahweh was in the city and so it was a holy place."
8:12-13,mi7r,,,0,How did Solomon offer burnt offerings to Yahweh on the altar he built in front of the portico?,"Solomon offered burnt offerings to Yahweh just as the daily schedule required, following the directions found in the commandment of Moses."
8:14,ry27,,,0,What were the responsibilities of the priests and the Levites?,The priests and the Levites were appointed by Solomon to their positions in order to praise God and to serve before the priests as the daily schedule required.
8:14-15,urx1,,,0,How faithful were the gatekeepers in carrying out their responsibilities?,The gatekeepers obeyed the commands of the king to the priests and Levites concerning any matter.
8:16,t1am,,,0,What was the sign that all of Solomon’s work on the house of Yahweh had been accomplished?,The house of Yahweh was completely finished and put into use.
9:1,a4gw,,,0,Why did the queen of Sheba come to Jerusalem?,The queen of Sheba came to Jerusalem because she heard of Solomon’s fame and wanted to test him with hard questions.
9:1-2,pm8s,,,0,How did Solomon respond when the queen of Sheba asked him all the questions that were on her heart?,Solomon answered all the questions that the queen of Sheba asked of him.
9:3-4,s3zd,,,0,"What was the response from the queen of Sheba when she saw Solomon’s wisdom and all the buildings, food, clothing, and servants he had in his possession?","When the queen of Sheba saw all the possessions which Solomon had, there was no more spirit in her."
9:6,unag,,,0,What was the queen of Sheba’s assessment of king Solomon?,The queen of Sheba told King Solomon that his wisdom and wealth exceeded what she had heard about him.
9:8,sn2z,,,0,What did the queen of Sheba say to remind Solomon how he had come to be on the throne of Israel as their king?,The queen of Sheba reminded Solomon that Yahweh had made him king over Israel and had placed him on the throne because Yahweh loved Israel and wanted to establish it forever.
9:12,gd54,,,0,What was the outcome of the queen of Sheba’s trip to see King Solomon?,"King Solomon gave to the queen of Sheba everything she asked for in addition to what she had brought to the king, and then she left and went back to her own land."
9:13,p6b9,,,0,How much gold came to Solomon in one year?,The weight of gold that came to Solomon in one year was 666 talents.
9:14,cqhr,,,0,Who brought gold to Solomon?,"The traders, the merchants, all the kings of Arabia and the governors in the country brought gold to Solomon."
9:16,ap4w,,,0,How many gold shields did Solomon make?,King Solomon made five hundred shields of beaten gold.
9:17,wmpx,,,0,What was King Solomon’s throne made of?,King Solomon’s throne was made of ivory overlaid with the finest gold.
