Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	sfxv			0	What did David do after defeating the Amalekites?	David returned from defeating the Amalekites and remained in Ziklag for two days without receiving any news of the battle between the Philistines and Israelites.
1:2	mg00			0	On the third day, who came to David from Saul’s camp?	On the third day, a man with his clothes torn and with dirt on his head came to David.
1:4	y2th			0	What did the young man say about Saul and Jonathan?	The young man said that Saul and his son Jonathan were killed.
1:6	bqti			0	Where did the young man say he found Saul?	The young man said he was on Mount Gilboa, and Saul was there leaning on his spear.
1:8	b0gx			0	What did the young man say Saul asked him to do?	The young man said Saul asked him to stand over him and kill him.
1:9	ki23			0	Why did Saul ask the young Amalekite man to kill him?	Saul asked the young Amalekite man to kill him because great agony had seized him, but his life was still in him.
1:10	ngv8			0	After the young man killed Saul, what did he take from Saul?	The young man took the crown that was on Saul’s head and the band that was on his arm.
1:11-12	eukz			0	What did David and his men do when they heard about the deaths of Saul and Jonathan?	David and his men tore their clothes, and they mourned, wept, and fasted until evening.
1:12	qufu			0	For whom else were David and his men mourning?	David and his men also mourned for the people of Yahweh and for the house of Israel, because they had fallen by the sword.
1:14-15	sig9			0	Why did David have the young Amalekite man killed?	David had the young Amalekite man killed because the man’s own words testified that he had killed Yahweh’s anointed.
1:16	dgex			0	Why did David have the young Amalekite man killed?	David had the young Amalekite man killed because the man’s own words testified that he had killed Yahweh’s anointed.
1:17-18	azfg			0	Where is the funeral song that David sang for Saul and Jonathan written?	The song is written in the Book of Jashar.
1:19	h3ib			0	What was slain on Israel’s high places?	The splendor of Israel was slain there.
1:20	xrbg			0	Why did David not want the news of the defeat proclaimed in Gath or Ashkelon?	He did not want the daughters of the Philistines to rejoice or triumph.
1:21	sgjf			0	Where does the shield of the Saul, the mighty king, remain?	The shield of the mighty king remains on ground on Mount Gilboa.
1:24	sonh			0	What did Saul do for the daughters of Israel?	He made Israel a safe and prosperous place in which they had beautiful scarlet clothes and expensive jewelry and gold ornaments to wear.
1:26	ujp1			0	How did David describe his love for Jonathan?	David said Jonathan’s love for him was more wonderful than the love of women.
2:1	b8cn			0	What did David ask Yahweh, and what was the reply?	David asked if he should go up to one of the cities of Judah, and Yahweh told him to go up.
2:1	ecdv			0	When David inquired further, to which city did Yahweh tell David to go?	Yahweh told David to go to Hebron.
2:2-3	g6v7			0	Who went up with David to Hebron?	David went up to Hebron with his two wives, Ahinoam and Abigail, and all his men and their families.
2:4	maml			0	What did the men of Judah do when they came to David?	The men of Judah came and anointed David as king over the house of Judah.
2:8	g8i3			0	Who was Abner?	Abner was the son of Ner and the commander of Saul’s army.
2:8-9	gakz			0	What did Abner do with Ishbosheth, the son of Saul?	Abner took Ishbosheth to Mahanaim and made him king of all the territory that would later be the northern kingdom of Israel.
2:11	y18k			0	How long was David king in Hebron over the house of Judah?	David was king in Hebron over the house of Judah for seven years and six months.
2:12-13	jzx1			0	Where did Joab’s men and Abner’s men meet?	They met near the large pool of Gibeon, staying on opposite sides of the pool.
2:15	z87f			0	How many young men fought before Joab and Abner?	Twelve men from Benjamin for Ishbosheth and twelve men from David’s soldiers fought.
2:17	nw9y			0	Who won the battle that day?	The soldiers of David defeated Abner and the soldiers from the other tribes of Israel.
2:19	l2xi			0	Which son of Zeruiah pursued Abner?	Asahel pursued Abner.
2:22	d8jp			0	How did Abner try to convince Asahel to stop pursuing him?	Abner warned Asahel that if he had to strike him down, he could never again have a peaceful relationship with Asahel’s brother Joab.
2:23	yyh0			0	What happened to Asahel when he refused to stop pursuing Abner?	Abner struck him in the stomach with the butt end of his spear, and the spear went right through his stomach and came out of his back, so Asahel fell and died there.
2:24	zn9d			0	To what location did Joab and Abishai pursue Abner?	Joab and Abishai pursued Abner to the hill of Ammah, which is near Giah on the way to the wilderness of Gibeon.
2:26-27	tbj4			0	What did Abner say to stop Joab from pursuing him?	Abner called out to Joab that they should not continue this deadly battle any longer. He told Joab to realize that if they continue fighting, many people will suffer great harm. He said that they are all Israelites, and asked Joab to please tell his soldiers right now to stop chasing Abner and his soldiers.
2:29	ktae			0	Where did Abner and his men travel?	Abner and his men marched back to Mahanaim.
2:32	pptd			0	Where did Joab and his men travel?	Joab and his men traveled to Hebron to bury Asahel’s body in the tomb of his father at Bethlehem. Then they marched all night, going back to Hebron, their home.
3:1	o3hv			0	In the war between the house of Saul and the house of David, who grew stronger and who grew weaker?	The house of David grew stronger, and the house of Saul grew weaker.
3:2-3	f44l			0	Who were David’s first three sons born to him in Hebron?	Amnon, Chileab, and Absalom were the first three sons born to David in Hebron.
3:7-8	wzmc			0	What did Ishbosheth accuse Abner of doing?	Ishbosheth accused Abner of doing something wrong by having sexual relations with his father Saul’s concubine.
3:9-10	r5yt			0	After Ishbosheth’s accusation, what did Abner swear he would do?	Abner swore that he would transfer the kingdom from Saul’s house to David and establish David’s throne over all Israel and Judah.
3:13	abgb			0	What was David’s one condition for making a covenant with Abner?	Abner had to bring his wife Michal, Saul’s daughter, when he came to see David.
3:14	k871			0	What price had David paid for Michal to be his wife?	David had paid the price of 100 Philistine foreskins for Michal.
3:17-18	ytlv			0	What did Abner tell the elders of Israel to do?	Abner told the elders to make David their king, since Yahweh spoke about David, saying that by the hand of his servant David my servant, he would save his people Israel from the hand of the Philistines and from the hand of all of their enemies.
3:20	m93m			0	What did David do for Abner when Abner and his twenty men arrived in Hebron?	David made a feast for Abner and his men.
