Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	pkze			0	Of what is Yahweh full?	Yahweh is full of wrath.
1:2	mw2o			0	On whom does Yahweh take vengeance?	Yahweh takes vengeance on his adversaries.
1:3	anij			0	Where does Yahweh make his way?	Yahweh makes his way in the whirlwind and the storm.
1:4	r3ri			0	What is happening to the flowers of Lebanon?	The flowers of Lebanon wither.
1:5	x5pu			0	What happens to the earth in Yahweh’s presence?	The earth heaves in Yahweh’s presence.
1:7	mpie			0	To what can we compare Yahweh in the day of trouble?	Yahweh is a stronghold in the day of trouble.
1:8	cpg6			0	Into what will Yahweh pursue his enemies?	Yahweh will pursue his enemies with darkness, meaning “terrible things.”
1:13	quwh			0	What will Yahweh do to the people’s yoke?	He will break the people’s yoke from upon them.
1:14	oc4v			0	Why will Yahweh dig graves for the people of Nineveh?	He will dig their graves because they are worthless.
1:15	m07j			0	Where are the feet of him who brings good news?	On the mountains are the feet of the herald who brings good news.
1:15	e1np			0	Why should Judah celebrate the festivals and keep vows?	Judah should celebrate its festivals and keep vows because the wicked one will invade them no more.
2:2	j42u			0	What has Yahweh restored?	Yahweh has restored the majesty of Jacob.
2:3	yvr7			0	What color are the shields of his mighty men?	The shields of his mighty men are red.
2:4	t0wc			0	What speeds through the streets?	The chariots speed through the streets.
2:7	cfkw			0	What has been decreed?	It has been decreed: the queen is taken away into exile; her female servants moan like doves, beating their breasts.
2:8	acqo			0	What will the people of Nineveh do?	They will flee away without turning back.
2:11	g0y7			0	Of what were the lions afraid?	They were afraid of nothing.
2:12	ov0a			0	With what did the lion fill his cave and his dens?	The lion filled his cave with victims and his dens with carcasses.
2:13	geyj			0	What will Yahweh do to Nineveh?	Yahweh will burn their chariots in the smoke, devour their young lions, and cut off their prey from the land.
3:1	uh29			0	Of what is the city full?	The city is full of blood, lies and stolen property.
3:3	h899			0	How many people will be killed by the attacking horsemen?	There will be heaps of corpses, a great pile of bodies, and no end of the bodies.
3:4	ve0v			0	Why are these things happening?	This is happening because of the harlotries of the beautiful prostitute.
3:5-6	uzfk			0	What will Yahweh of hosts do against the prostitute because he is against her?	Yahweh will raise up her skirt over her face and show her private parts to the nations and her shame to the kingdoms. He will throw disgusting filth on her and make her vile. He will make her someone that everyone will look at.
3:8	syqg			0	Whose wall was the sea?	Thebes’ wall was the sea.
3:10	sesu			0	Who threw lots for Thebes’ honorable men?	Thebes’ enemies threw lots for her honorable men.
3:12	qe73			0	If Nineveh’s fortresses are shaken, what happens?	If Nineveh’s fortresses are shaken, they fall into the mouth of the eater.
3:17	f50q			0	How many guards and generals are there?	The guards and generals are as many as a swarm of locusts.
3:19	yh8z			0	What will everyone who hears the news about you do?	Everyone who hears the news about you will clap their hands in joy over you.
