Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	hsip			0	Where was Moses when he spoke to Israel?	Moses was east of the Jordan in the wilderness, in the plain of the Jordan River valley.
1:3	hgow			0	When did Moses speak to the people of Israel, telling them all that Yahweh commanded him?	Moses spoke to the people in the fortieth year after they had left Egypt.
1:8	ye55			0	To whom had Yahweh promised to give the land?	Yahweh had promised to give the land to Abraham, Isaac, and Jacob and to their descendants.
1:9-10	jtah			0	Why did Moses feel he could not govern the people alone?	There were too many of them since God had multiplied them and made them as numerous as the stars of the heavens.
1:13	ev2y			0	Who would help Moses solve all the problems and disputes of the people?	The people would choose wise, understanding, and well-known men from each tribe and appoint these men leaders to help Moses.
1:16	tdii			0	What did Moses command the judges to do?	He commanded them to hear and judge righteously concerning the quarrels and cases the Israelites had with each other or with any foreigner who lived among them.
1:19	trn4			0	Where did Israel travel through as they journeyed from Horeb to the hill country?	They traveled through all the great and terrible wilderness.
1:22	tyh5			0	What did the people ask Moses to do before they would enter the land?	They asked Moses to send men ahead to explore the land and report back about it.
1:23	odbe			0	Who did Moses choose to scout out the land?	He chose one man from each of the 12 tribes.
1:25	ik2m			0	What did the men report back about the land?	They reported that the land that Yahweh was giving them was good.
1:27	nrtf			0	What were the people grumbling against Yahweh about?	They said Yahweh hated them and he brought them out of the land of Egypt to destroy them.
1:28	xurt			0	What did the spies say about the people of the land?	They said that the people of the land were stronger and taller than the Israelites and had fortified cities.
1:29-31	oz8p			0	What did Moses say was the reason the people did not need to be afraid?	He told them not to be afraid, because Yahweh would go before them and would fight for them like he did in Egypt and in the wilderness.
1:34-36	iyt4			0	What did Yahweh say when he became angry?	He said that not one of these men would see the good land except Caleb.
1:38	rknw			0	What did Yahweh tell Moses to do for Joshua, the son of Nun?	Yahweh told Moses to encourage Joshua for he would lead Israel to occupy the land.
1:39	f4xe			0	Who did Yahweh say will go into the land and possess it?	He said their children will go in and will possess the land.
1:42-43	gzai			0	What did the people do when Yahweh told them not to attack the hill country?	They were arrogant and went up to the hill country to fight anyway.
2:1	ronr			0	Where did Moses say they journeyed?	They journeyed into the wilderness on the way to the Sea of Reeds.
2:4-5	esum			0	What did Yehweh command the people to be careful not to do?	They were not to fight the descendants of Esau, who live near Mount Seir, for Yahweh had given that land to them.
2:6	cood			0	How were they to get food and water?	They were to buy food and water from the people living there so they could eat and drink.
2:9	emkn			0	What did Yahweh tell them they were not to do in Moab?	They were not to trouble or fight with the people of Moab because Yahweh had given that land to them.
2:14	p1hs			0	How long did it take Israel to go from Kadesh Barnea to the wadi of Zered?	It took them 38 years from when they left until they crossed wadi of Zered.
2:16	tpa0			0	What happened to all the men who had been old enough to fight?	All the men who had been old enough to fight had died.
2:19	ad92			0	To whom had Yahweh given the land where the people of Ammon were living?	Yahweh had given that land to the descendants of Lot.
2:25	f08p			0	What will the people of the land do when they hear news about the Israelites?	They will tremble and be afraid because of what they hear about the Israelites.
2:26-27	v5hz			0	What words of peace did Moses send to Sihon, king of Heshbon?	Moses asked that they be allowed to pass through his land, staying on the road and not turning to the right or left.
2:28	tq9f			0	How did Moses plan to get food and water for the people?	He asked the king to sell him food and water so the Israelites could eat and drink.
2:32-33	zjd8			0	What happened when Sihon came out to fight against Moses and his people?	Yahweh allowed Moses and his people to defeated him, killing him, his son, and all his people.
2:34	mfep			0	What happened to all the king’s cities?	Moses captured all the king’s cities and destroyed them, including women and children, leaving no survivors.
3:1	zkq6			0	What did Og, the king of Bashan, do to Israel as they approached his land?	As Israel approached the land of Bashan, the king and all his soldiers came and attacked them.
3:3	ak6u			0	What did Israel do to the king of Bashan and his people?	They defeated the king of Bashan, killing him and all his people, leaving no survivors.
3:7	keak			0	What did Israel do with the cattle and the spoil of the cities?	They took for themselves all the cattle and the spoil of the cities.
3:12-13	g0w9			0	To whom did Moses give the land that they had captured?	He gave it to the Reubenites, the Gadites, and half of the tribe of Manasseh.
3:18	qg8q			0	What did Moses command the men of war of the Reubenites, the Gadites, and half of the tribe of Manasseh to do?	He commanded them to cross over the Jordan River to help the rest of the people of Israel conquer that land.
3:20	f8cz			0	When did Yahweh say the Reubenites, the Gadites, and half of the tribe of Manasseh could return to their own land?	Yahweh said they could return to their own land after the rest of the Israelites captured the land that God was giving to them.
3:22	m2u0			0	What did Moses tell Joshua not to do?	He told Joshua not to fear the enemy because Yahweh would be the one who would fight for him.
3:25	ulvu			0	What did Moses ask Yahweh to allow him to do?	He asked Yahweh to let him go see the good land across the Jordan River and in Lebanon.
3:26	t5xo			0	How did Yahweh respond to Moses’ request to go and see the land?	Yahweh was angry with Moses because of what the people had done and did not listen to his request.
3:27	qngc			0	What did Yahweh allow Moses to do?	Yahweh told him to go up to the top of Mount Pisgah and look all around from there, for he would not cross the Jordan River.
3:28-29	p4pb			0	What did Yahweh tell Moses to do for Joshua?	He told Moses to instruct, encourage, and strengthen Joshua, because he would lead the people across the river to occupy the land that he could see.
4:1	vlko			0	What must the people of Israel do so that they may live and go in and possess the land that Yahweh is giving them?	They must listen and obey the laws that Moses will teach them so that they may possess the land.
4:2	a34u			0	What does Moses instruct the people not to do?	They must not add to or take away from the words of the commands Moses is giving them so they will obey the commandments of Yahweh.
4:3	b9rs			0	What happened to the men who were worshiping Baal?	Yahweh destroyed the men that worshiped the Baal of Peor.
4:6	orza			0	What will be the result of Israel keeping the rules that Moses commanded them?	The people around them will notice that because they keep these rules, they are a nation that has wisdom and understanding.
4:9	zm0o			0	What should the people do so that they do not forget what God has done?	They should guard themselves by remembering the things God has done and telling them to their children and their grandchildren.
4:11-12	mppz			0	What did the people hear out of the middle of the fire on the mountain?	They heard Yahweh’s voice out of the middle of the fire but did not see him.
4:13	umai			0	What was the covenant written on that Yahweh commanded them to obey?	The Ten Commandments that Yahweh gave to Moses for the people to obey were written on two tablets of stone.
4:16	o1fc			0	What were the people told not to do so as to not act corruptly?	They were told not to make any carved figures or idols of any thing.
4:19	i07w			0	Why did Moses tell the people to be careful about the sun, moon, and stars?	He told them that they should be careful to not be seduced to worship the heavens, sun, moon, or stars.
4:20	hbi3			0	Why did Yahweh bring the people out of Egypt?	He brought them out of Egypt to be a people who belong to him.
4:21	vs1o			0	What did Yahweh declare to Moses because he was angry with him?	He declared that Moses would not cross the Jordan River into the good land.
4:23-24	onos			0	Why did Yahweh forbid Israel to make any carved figure or idol?	Yahweh their God is a jealous God and wants them to worship only him.
4:25-26	dbgg			0	What does Moses say will happen if the people corrupt themselves and do evil in Yahweh’s sight?	They will perish in the land over the Jordan and be completely destroyed.
4:27	wh3u			0	What does Moses say Yahweh will do to the people if they worship idols?	Yahweh will scatter them among other nations and only a few would survive.
4:29	bh3t			0	When will the people find Yahweh?	They will find him when they search for him with all their heart and all their soul.
4:30	phrd			0	What will make the people return to Yahweh their God and listen to his voice?	When they are in trouble and when all the bad things have come on them, they will return to Yahweh.
4:34	d7es			0	What did God do for the people when they were in Egypt?	God chose for himself all these people from the midst of another nation, by using his great power when he performed miracles, sent plagues, and fought the Egyptians for them.
4:35-36	xykz			0	What did Yahweh do to show the people that he alone is God?	He allowed them to hear his voice speak from heaven, and on earth he made them see his great fire and hear his voice coming from it.
4:37-38	fbyg			0	What did Yahweh do for Israel because he loved their ancestors?	He chose their descendants and brought them out of Egypt with his great power. He gave them their land after driving out the more powerful nations.
4:41-42	jroh			0	Where could a person flee if he killed another person accidently?	He could flee to one of the three cities that Moses had selected on the east side of the Jordan River.
4:44-45	zxts			0	What was included in the law that Moses gave the people of Israel?	He gave them the law which included all the instructions, rules, and regulations that he told them when they came out of Egypt.
4:46-47	b6hn			0	From which two kings did Moses and his people take land on the east side of the Jordan River?	The Israelites took the land of Sihon, king of the Amorites, and Og, king of Bashan.
5:2	x6gc			0	Where did Yahweh make his covenant with the people?	Yahweh made his covenant with the people of Israel at Horeb.
5:4-5	pzs4			0	Why did Moses stand between Yahweh and the people when Yahweh revealed his word to them?	They were afraid of the fire from which Yahweh was speaking so Moses stood between them in order to tell them what he said.
5:6	mxp0			0	Who does Yahweh tell Israel he is?	He told them that he is Yahweh their God, who brought them from the land of Egypt and freed them from slavery.
5:8-9	rmaa			0	What does God tell Israel not make, bow down to, or serve?	They should not make carved figures of any likeness of anything that is in the sky, on earth, or in the water. If they do, God will punish them and their descendants.
5:10	eykl			0	What will Yahweh do for those who love him and keep his commandments?	He will show covenant faithfulness to those who love him and obey his commandments.
5:11	lycj			0	Who will Yahweh not leave unpunished?	He will not leave unpunished those who use his name for wrong purposes.
5:12-14	oznf			0	What does Yahweh say about the seventh day?	The seventh day is a day of rest which is dedicated to Yahweh their God, so they must not do any work.
5:15	i148			0	What does Yahweh want them to remember when they observe the Sabbath day?	He wants them to remember that they were slaves in Egypt and that God brought them out by his great power.
5:16	ho0z			0	What did Yahweh say would be the result if they honor their father and mother?	They will live a long time in the land that God gave them and things will go well for them there.
5:17-20	fn3w			0	What were they commanded not to do?	They should not murder, commit adultery, steal, or give false witness.
5:22	zomh			0	On what did Yahweh write down his words?	He wrote his words down on two tablets of stone and gave them to Moses.
5:25	lvmj			0	What did the people say would happen to them if they heard the voice of Yahweh any longer?	The people said that they would be burned up by the great fire and would die.
5:27	t54l			0	What did the people say they would do when Moses tells them everything that Yahweh says?	They said they will listen and obey Yahweh’s word.
5:28	edq6			0	What did Yahweh say about the response of the people?	Yahweh said he heard what the people said and that what they had spoken was good.
5:33	b2bp			0	What did Moses say would happen to the people if they did all that Yahweh had commanded them?	If they keep the commandments, they will live a long time in the land and things will go well for them there.
6:2	ytlh			0	What will happen if the Israelites and their children keep all Yahweh’s statutes and commandments all the days of your lives?	If they keep his statutes and commandments, they will live for a long time.
6:3	noah			0	How did Moses describe the land into which the people were going?	He said that it was a land flowing with milk and honey.
6:5	dudt			0	How should Israel love Yahweh?	They should love Yahweh with all their heart, all their soul, and all their strength.
6:6-7	glth			0	When should the people diligently teach the commandments to their children?	They should teach the commandments to their children at every opportunity such as when they are in their house or walking on the road, lying down to rest, or getting up.
6:10-12	ko3a			0	When should Israel remember what Yahweh has done for them?	They should remember that it was Yahweh who brought them into the land he had promised them when they are enjoying every good thing that Yahweh had given them that they did not have to work for.
6:14-15	iuum			0	What will happen to Israel if they worship the gods of the people around them?	Yahweh will become angry with them and he will destroy them completely if they worship the gods of the people around them.
6:16	anud			0	What did the people do at Massah that they should not repeat?	They tested Yahweh by doing sinful things to see if he would punish them or not.
6:20-23	mgxv			0	How should the people respond when their children ask about all the things that Yahweh commanded?	They should tell their children about how they were Pharaoh’s slaves and Yahweh brought them out of Egypt and gave them the land that he promised to their ancestors.
6:24	p2p0			0	Why should the people fear Yahweh?	They should fear him so that things will go well for them and so that he will protect them as a nation.
7:1-2	er7m			0	What must the people do to the people of the land that Yahweh is bringing them into?	They must defeat them and destroy them completely.
7:2-3	q063			0	What must the Israelites not do with the people of those nations?	They are not to make any covenants with them, show them mercy, or arrange any marriages with them for their sons or daughters.
7:5	omlp			0	How should Israel deal with anything associated with the idols of the people of these nations?	They should break down their altars, smash their sacred stone pillars, cut down their Asherah poles, and burn their idols.
7:8	tu24			0	Did Yahweh keep his oath to their ancestors?	Yahweh kept his oath and rescued them from slavery to Pharaoh in Egypt.
7:9	i0em			0	What will Yahweh do with those who love him and keep his commandments?	Yahweh will keep his covenants with those who love him and keep his commandments and faithfully love them forever.
7:12-13	ifom			0	In what ways will the people be blessed by Yahweh if they keep his decrees?	God will love them and bless them and multiply them by giving them many children, crops, and animals.
