Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	x0r4			0	Whose word came to Joel?	The word of Yahweh came to Joel.
1:3	qd5t			0	To whom were the elders to tell the word of Yahweh?	They were to tell their children, and their children were to tell their children.
1:4	h6tj			0	What happened to what the hopping locusts have left?	The destroying locust ate what the hopping locusts left.
1:5	nz2y			0	Why will drinkers of wine wail?	They will wail because the sweet wine has been cut off.
1:7	ctnp			0	Into what has the enemy made the vine?	The enemy has made the vine into a waste.
1:8	d2oe			0	For what reason does the virgin mourn?	The virgin mourns for the death of her young husband.
1:10	fseu			0	What has happened to the grain?	The grain has been destroyed.
1:13	mrg8			0	What has been withheld from the house of God?	The grain offering and the drink offering have been withheld from the house of God.
1:15	jx3d			0	When will the day of Yahweh be here?	The day of Yahweh is almost here.
1:17	urft			0	What has been broken down?	The storage places for grain have been broken down.
1:18	drvc			0	Why are the herds of cattle suffering?	The herds of cattle are suffering because they have no pasture.
1:19	gjf0			0	To whom does Joel call?	Joel calls to Yahweh.
1:20	bs2s			0	For whom do the animals of the field pant?	The animals of the field pant for Yahweh.
2:1	lob4			0	Why should all the inhabitants of the land tremble in fear?	They should tremble in fear, for the day of Yahweh is coming.
2:2	tzru			0	When has there been an army like this one?	There has never been an army like this one, and there never will be again.
2:3	e8uq			0	What is the land like behind the army?	The land behind the army is a ruined wilderness.
2:4	eqc2			0	In what way does the locust swarm look and act like an army?	The locusts look like horses and run like horses.
2:9	exo5			0	How does the army enter the city?	They rush on the city, they run on the wall, they climb in houses, and they go through windows like thieves.
2:11	onuq			0	Whose army is this?	This is Yahweh’s army.
2:13	bncr			0	What should the people tear?	They should tear their hearts and not their garments.
2:13	oa5y			0	Why should the people return to Yahweh?	He is gracious and merciful, slow to anger and abundant in love, and he would like to turn from inflicting punishment.
2:15	wk47			0	Why should the people blow a trumpet in Zion?	They should blow a trumpet to consecrate a fast and to call a sacred assembly.
2:19	zx0o			0	What had Yahweh’s people been among the nations?	Yahweh’s people had been a reproach, an object of scorn, among the nations.
2:21	wof9			0	Why should the land not fear?	The land should not fear, because Yahweh has done great things.
2:25	qpb9			0	Who sent the mighty army?	Yahweh sent the mighty army.
2:26-27	xhwf			0	Will Yahweh ever bring shame on his people again?	No, he will never bring shame on his people again.
2:28-29	bz77			0	What will happen when Yahweh pours out his Spirit?	Their sons and your daughters will prophesy, their old men will dream dreams, and their young men will see visions.
2:30	kgyi			0	What will Yahweh show in the heavens and on the earth?	Yahweh show wonders in the heavens and on the earth.
2:31	jvpt			0	Into what will the sun turn?	The sun will turn into darkness.
2:32	fils			0	Who will be saved at that time?	Everyone who calls on the name of Yahweh will be saved.
3:2	thg5			0	Who will Yahweh bring to the Valley of Jehoshaphat?	Yahweh will bring the nations to the Valley of Jehoshaphat.
3:2	pq4d			0	Who did the nations scatter?	The nations scattered Yahweh’s people.
3:4	laci			0	At whom are Tyre, Sidon and all the regions of Philistia angry?	Tyre, Sidon and all the regions of Philistia are angry at Yahweh.
3:5	wik6			0	What did Tyre, Sidon, and Philistia do with Yahweh’s treasures?	They brought his treasures into their temples.
3:6	xcr1			0	What did Tyre, Sidon, and Philistia do to the people of Judah and Jerusalem?	They sold the people to the Greeks in order to remove them far from their territory.
3:8	zn38			0	What will Yahweh do to the sons and daughters of Tyre, Sidon, and Philistia?	Yahweh will sell their sons and daughters to the Sabeans by the hand of the people of Judah.
3:10	fr3d			0	Into what should the nations beat their plowshares?	They should beat their plowshares into swords.
3:12	txzy			0	What will Yahweh do to all surrounding nations?	Yahweh will sit to judge all surrounding nations.
3:15	dwld			0	What will happen to the sun, moon, and stars?	The sun and moon will become dark, and the stars will withdraw their brightness.
3:16	y40w			0	What two things will Yahweh be for his people?	Yahweh be a shelter and a stronghold for his people.
3:17	sd8t			0	Who lives in Zion?	Yahweh their God lives in Zion.
3:18	ob7y			0	With what will the hills flow?	The hills will flow with milk.
3:19	af7m			0	Who will be abandoned because of the violence they did to the people of Judah?	Egypt and Edom will be abandoned.
