Reference	ID	Tags	Quote	Occurrence	Question	Response
1:3	f4o0			0	What kind of animal from the herd does Yahweh tell Moses to tell the people to bring as a burnt offering?	Yahweh tells Moses to tell the people to bring a perfect male from the cattle as a burnt offering.
1:4	ozmq			0	What does Yahweh tell the person to do to make the offering accepted on his behalf to make atonement for himself?	Yahweh tells the person to lay his hand on the head of the burnt offering and it shall be accepted for him to make atonement for him.
1:5	u490			0	What are the priests to do with the blood of the bull?	The priests are to present the blood and splash it upon the altar at the entrance of the tent of meeting.
1:8	hxyy			0	Who are the priests?	The priests are the sons of Aaron.
1:9	p3v1			0	What must be done with the inward parts and legs before placing them on the altar to be burned?	The inward parts and the legs must be washed with water before being placed on the altar to be burned.
1:9	wpug			0	What would the burnt offering produce that would be pleasing to Yahweh?	The burnt offering would produce a scent that would be pleasing to Yahweh.
1:10	cnz6			0	What animal did Yahweh tell Moses to tell the people to bring from the flock for a burnt offering?	Yahweh told the people to bring from the flock a perfect male lamb or goat.
1:11	wybq			0	On which side of the altar must the male sheep or goat be killed?	The sheep or goat must be killed on the north side of the altar.
1:11	c3k0			0	Where must Aaron’s sons splash the blood of the sheep or goat?	Aaron’s sons must splash the blood of the sheep or goat on every side of the altar.
1:14	ge30			0	What kinds of birds does Yahweh say could be brought as a burnt offering?	Yahweh says that a dove or pigeon could be brought as a burnt offering.
2:1	mml2			0	What kind of grain offering should be brought as an offering to Yahweh?	The grain offering that a person presents as an offering to Yahweh should be an offering of flour.
2:1	y4wi			0	What must be done to prepare the flour before it is offered to Yahweh?	Oil should be poured on the flour, and frankincense should be put on the flour.
2:3	fex5			0	To whom should the remainder of the grain offering belong?	The remainder of the grain offering left after the burnt offering should be for Aaron and his sons.
2:4	ssd8			0	If the grain offering is baked in an oven, of what must it be made?	If the grain offering is baked in an oven, it must be an offering of a loaf of flour that is mixed with oil and is without yeast.
2:11	zz3x			0	What substances must not to be in the grain offering?	You should not burn on the altar a grain offering that contains any yeast or any honey.
2:13	bsgs			0	What substance must always be on the grain offering?	You should season every grain offering with salt.
3:1	e5eb			0	What peace offering should be offered from the herd?	A peace offering should be either a male or a female, without blemish, offered from the cattle.
3:2	w5md			0	Where must the offering be killed?	The offering must be killed in front of the tent of meeting.
3:3-4	yg95			0	What parts of the peace offering must be presented to Yahweh?	The lobe of the liver, the two kidneys, and fat that is on them that is near the loins must be removed and presented to Yahweh.
3:6-8	ajw1			0	Where should the person making the peace offering slaughter an animal from the flock?	He should slaughter it before the tent of meeting.
3:9	j6wm			0	What different thing must be removed from the peace offering that comes from the flock?	The entire fatty tail, cut away close to the backbone, must be removed and presented to Yahweh if the peace offering comes from the flock.
3:16	lppb			0	To whom does the fat belong?	All the fat belongs exclusively to Yahweh.
