Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	rfrt			0	What has the city become like even though she was once great among the nations?	The city has become like a widow.
1:3	nhnp			0	What can Judah not find even though she lives among the nations?	Judah can find no rest even though she lives among the nations.
1:5	quc2			0	Why has Yahweh afflicted Jerusalem?	Yahweh has afflicted Jerusalem because of her many transgressions.
1:6	q0zy			0	What has left the daughter of Zion?	All of her splendor has left the daughter of Zion.
1:7	kohe			0	What did Jerusalem remember in the days of her affliction?	Jerusalem remembered all of her precious things that she had in former days.
1:8	ute7			0	Because Jerusalem sinned greatly, what has she become?	Jerusalem has become an object of scorn.
1:10	qumw			0	What has Jerusalem seen enter her sanctuary even though Yahweh commanded that they must not enter?	Jerusalem has seen the nations enter her sanctuary.
1:11	svvc			0	What do the people do as they search for bread?	The people groan as they search for bread.
1:13	futb			0	What has Yahweh spread for the feet of Jerusalem?	Yahweh has spread a net for the feet of Jerusalem.
1:14	n9ng			0	What has stumbled because of the yoke of Jerusalem’s transgressions placed on her neck?	Jerusalem’s strength has stumbled because of the yoke of her transgressions placed on her neck.
1:15	qbve			0	What has the Lord done to the virgin daughter of Judah?	The Lord has trodden the winepress for the virgin daughter of Judah.
1:16	ryee			0	Why have Jerusalem’s children become desolate?	Jerusalem’s children have become desolate because the enemy has prevailed.
1:18	egi1			0	Who have gone into captivity because Jerusalem rebelled against Yahweh’s commandment?	Jerusalem’s virgins and young men have gone into captivity.
1:19	hxcf			0	Who perished in the city while they sought food to restore their lives?	Jerusalem’s priests and elders perished in the city.
1:20	i69j			0	What is overturned within Jerusalem because she has rebelled?	Jerusalem’s heart is overturned within her.
1:21	z65j			0	What do the enemies of Jerusalem do when they hear of her calamity?	The enemies of Jerusalem rejoice.
1:22	ccb1			0	What does Jerusalem request that Yahweh do to her enemies?	Jerusalem asks that Yahweh would deal with her enemies just as Yahweh has dealt with her for all her transgressions.
2:1-2	mn6j			0	How does the Lord express his anger because of Jeremiah’s rebellion?	He has taken away the beauty of Israel, has no compassion for the towns of Jacob, and has struck down the fortified cities of Judah.
2:3-4	n3n8			0	How does his anger affect Israel and Zion?	The Lord has removed all of Israel’s strength and poured his wrath on Zion.
2:5-6	oqsj			0	How is the Lord’s anger shown?	The Lord has become like an enemy, he destroyed the palace and the tabernacle, and has despised both king and priest.
2:7	h04c			0	Why does the enemy feel victorious?	They feel victorious because the Lord rejected his altar and has given the walls of the palace over to them.
2:9	d0qj			0	What has happened to the gates and bars of Zion?	Her gates have sunk into the ground, and Yahweh has destroyed and broken her gate bars.
2:10	q8k1			0	How do the elders and virgins show they are grieving?	The elders sit on the ground, sprinkle their heads with dust while dressed in sackcloth. The virgins lower their heads to the ground.
2:11-12	cscx			0	Why is Jeremiah lamenting?	Because there is nothing for his people to eat or drink.
2:15-16	j5v8			0	What do the mockers do as they pass through the city?	They clap their hands, hiss and shake their heads, they whistle and grind their teeth.
2:18-19	b6q5			0	How do the people show their remorse?	They cry out to the Lord and lift their hands to him for the sake of their children.
2:20	qvix			0	Why are the people begging for Yahweh’s mercy?	Because he has dealt with them so severely, they are hungry, and they are concerned about their priests being slaughtered.
2:21-22	tmrj			0	How does Jeremiah describe the day of Yahweh’s wrath?	On the day of Yahweh’s wrath, Yahweh killed young and old, no one survived, and he showed no compassion.
3:3	nbw5			0	What does the writer say that Yahweh has turned against him all the day?	Yahweh’s hand is turned against him all the day.
3:7	xfvp			0	What does the writer say that Yahweh has built around him so that he cannot escape?	Yahweh has built a wall around him.
3:10	d1bb			0	To what animal does the writer compare Yahweh and say that it is waiting to ambush him?	The writer describes Yahweh as a bear that is waiting to ambush him.
