Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	m71f			0	Who is the writer of Song of Songs?	Solomon is the writer of Song of Songs.
1:2	hgyj			0	What does the young woman ask her lover to do?	The young woman asks her lover to kiss her with the kisses of his mouth.
1:2	mq6s			0	What does the young woman say is better than wine?	The young woman says her lover’s love is better than wine.
1:3	mzlf			0	What does the young woman say her lover’s name is like?	The young woman says his name is like fragrant oil.
1:4	kl7h			0	Where has the king brought the young woman?	The king has brought the young woman into his rooms.
1:5	l9jl			0	How does the young woman describe her skin?	The young woman describes her skin as dark but lovely like tents of Kedar, like curtains of Solomon.
1:6	i4hb			0	Why does she not want the other women to stare at her?	She does not want the other women to stare at her because her skin is scorched.
1:6	rcdr			0	What did the young woman’s brothers do when they were angry with her?	The young woman’s brothers made her a keeper of the vineyards.
1:7	z3wl			0	What does the woman ask her lover?	She asks him where he feeds his flock and where he rests his flock at noontime.
1:8	a2bi			0	How does her lover say the young woman can find him?	He tells her to follow the tracks of his flock to the shepherds’ tents.
1:9	p12i			0	To what does the young woman’s lover compare her?	He compares her to a mare among Pharaoh’s chariots.
1:10	ubor			0	What does her lover say is on her cheeks and neck?	He says earrings are on her cheeks and strings of jewels are on her neck.
1:11	h2dt			0	What does her lover say he will make for her?	He says he will make for her gold earrings with silver studs.
1:12	ih62			0	Where was the king lying while the woman’s perfume spread in the room?	The king was lying on his couch while the fragrance of the woman’s perfume spread.
1:13	lklc			0	Where does her beloved spend the night?	Her beloved spends the night lying between her breasts.
1:14	y5y7			0	To what does the young woman liken her beloved?	Her beloved is like a cluster of henna flowers in the vineyards of En Gedi.
1:15	d0ky			0	How does her lover describe her eyes?	He says her eyes are like doves.
1:16	xejw			0	What does the woman say serves as their bed?	Leafy plants serve as their bed.
1:17	tpux			0	Of what does the woman say the beams and rafters of their house are made?	The beams and rafters are made of cedar and pine trees.
2:1	xx7j			0	How does the woman describe herself?	She describes herself as a flower of the plain, a lily of the valleys.
2:2	gymu			0	What does the man say she was like among the daughters of his countrymen?	He said she was like a lily among thorns.
2:3	wbxs			0	How does the woman describe her beloved among the young men?	The woman describes her young man as an apple tree among the trees of the forest.
2:3	szks			0	Where did the woman sit?	She sat down under his shadow with great delight.
2:3	jhdr			0	What was sweet to her taste?	His fruit was sweet to her taste.
2:4	kwdp			0	Where did her young man bring her?	Her young man brought her to the house of wine.
2:4	jmpv			0	What was his banner over her?	His banner over her was love.
2:5	fh97			0	What does the young woman want to sustain and refresh herself?	The young woman wants raisin cakes to sustain her and apples to refresh her.
2:6	uott			0	Where is the young man’s left and right hands?	His left hand is under her head and his right hand embraces her.
2:7	ix29			0	What does the young woman want the daughters of Jerusalem to avoid?	The young woman wants the young women to avoid awakening love before the right time comes.
2:8	xebm			0	What sound does the young woman hear?	The young woman hears the voice of her beloved.
2:8	fk1v			0	What does she say her beloved is doing?	He is leaping over the mountains and jumping over the hills.
2:9	a2u9			0	What does she say her beloved is like?	She said her beloved is like a gazelle or a young stag.
2:10	kg69			0	What did her beloved want her to do with him?	He wanted her to get up and come with him.
2:11	vfph			0	What did he say was past, and what was over and gone?	He said the winter was gone and the rain had passed.
2:12	mg1x			0	What has appeared in the land?	Flower blossoms have appeared in the land.
2:12	tttt			0	For what is it time?	It is time for song.
2:13	qoao			0	What ripens and what is in blossom?	The green fig tree ripens and the vines blossom.
2:13	wv8l			0	What does her beloved want his beautiful one to do?	He wants her to arise and come with him.
2:14	a534			0	What does her beloved call her?	Her beloved calls her his dove.
2:14	nsfj			0	What does her beloved want to see and hear?	Her beloved wants to see her lovely appearance and hear her sweet voice.
2:15	yxw3			0	What does the woman want him to catch?	The woman wants him to catch the little foxes that ruin vineyards.
2:16	z97w			0	To whom does the woman’s beloved belong?	Her beloved belongs to her.
2:16	s1a9			0	To whom does the woman belong?	She belongs to her beloved.
2:16	km96			0	What does her beloved do among the lilies?	He grazes among the lilies with pleasure.
2:17	p4fx			0	What does she want her beloved to do?	She wants her beloved to turn to her.
2:17	rdrq			0	When does she want her beloved to turn?	She wants her beloved to turn to her until the soft winds of dawn blow and the shadows flee away.
2:17	a1qn			0	What does she want him to be like?	She wants him to be like a gazelle or a young stag on the rugged mountains.
3:1	bnf8			0	For whom was the woman longing but could not find?	The woman was longing for the one whom she loved, but she could not find him.
3:2	utoo			0	For whom did the woman search through the streets and squares but not find?	The woman searched through the streets and squares, but she could not find her beloved.
3:3	qy7y			0	What did the woman ask the watchmen when they found her?	She asked them, “Have you seen my beloved?”
3:4	n0ss			0	When did she find the one whom her soul loved?	She found the one whom her soul loved just after she passed the watchmen in the city.
3:4	ifu2			0	What did she do with her beloved?	She held him and would not let him go until she had brought him into her mother’s house.
3:5	l61u			0	What does the woman want the daughters of Jerusalem to promise?	The woman wants the daughters of Jerusalem to promise they would not awaken or stir love before the right time.
