Reference,ID,Tags,Quote,Occurrence,Question,Response
1:1,wog5,,,0,What does the happy man not do?,He does not do what the wicked advise him to do.
1:1,xomz,,,0,Where does the happy man not stand?,He does not stand in the pathway of sinners.
1:1,d63z,,,0,Where does the happy man not sit?,He does not sit in the seat of scoffers.
1:2,sjel,,,0,In what does the man delight?,He delights in the instruction of Yahweh.
1:2,dlmi,,,0,When does the man meditate on the instruction of Yahweh?,He meditates on it day and night.
1:3,is2i,,,0,What is the man like?,He is like a tree set to grow by streams of water.
1:3,zo8j,,,0,What will happen to everything the man does?,Whatever he does will prosper.
1:4,pe89,,,0,What are wicked people like?,They are like the chaff that the wind chases away.
1:5,wc90,,,0,What will happen to wicked people in the judgment?,They will not stand in the judgment.
1:6,hsc4,,,0,Who knows the way of the righteous?,Yahweh knows the way of the righteous.
1:6,zfoz,,,0,What will happen to the way of the wicked?,The way of the wicked will perish.
2:2,cs8d,,,0,Who are the rulers conspiring against?,They are conspiring against Yahweh and against his annointed.
2:3,ft8x,,,0,What do the rulers want to tear apart and throw off?,They want to tear apart the restraints Yahweh and his chosen king put on them and cast off their rule.
2:4,mds4,,,0,Who sits in the heavens and mocks the nations who rebel?,The Lord mocks them.
2:6,bmp9,,,0,Who has the Lord anointed?,"The Lord has anointed his king on Zion, his holy mountain."
2:7,y8dy,,,0,What decree does Yahweh give to the psalmist?,"Yahweh says, “You are my son! Today I have begotten you.”"
2:8,rp00,,,0,What will Yahweh do with the nations and most distant regions of the earth?,Yahweh will give them as an inheritance and possession.
2:9,b9gk,,,0,What will happen to the nations?,They will be broken and smashed.
2:11,kn0x,,,0,How should the kings and rulers respond to Yahweh’s decree?,They should serve Yahweh in fear and rejoice with trembling.
2:12,u2wt,,,0,Why should the kings give allegiance to Yahweh’s son?,They should give him allegiance so that he will not be angry and they will not perish.
2:12,rgor,,,0,What happens to all those who take refuge in the son?,They will have a life that is truly good.
3:1,elbg,,,0,What does David say about how many enemies he has?,David says that his so many enemies who have decided to oppose him.
3:3,kq2q,,,0,What does David say Yahweh is to him?,David says Yahweh is a shield that protects him and he is the one who encourages.
3:4,y04r,,,0,What does Yahweh do when David calls out to him?,He answers David from his holy hill.
3:6,b7yg,,,0,Who does David say he will not fear because of Yahweh’s protection?,David will not be afraid of the many people who stand against him.
3:7,swjt,,,0,What does David say Yahweh does to his enemies?,Yahweh destroys David’s enemies power like he is breaking animals’ teeth.
3:8,hkbk,,,0,From whom does salvation come?,Salvation comes from Yahweh.
4:1,aagr,,,0,Who does David ask to answer when he calls?,David prays for the God of his righteousness to answer when he calls.
4:2,xjw7,,,0,What does David say the people are doing to his glory?,They are dishonoring him instead of honoring him.
4:3,gkdj,,,0,Who does Yahweh set apart for himself?,Yahweh sets apart the faithful for himself.
4:4,em63,,,0,What does David tell people to do while lying on their beds?,David tells them to meditate in their hearts and be silent.
4:5,qaq3,,,0,What kind of sacrifices does David say to offer?,He says to offer sacrifices of righteousness.
4:5,otoq,,,0,In whom does David say to trust?,He says to trust in Yahweh.
4:6,h04s,,,0,What do many people say?,Many people ask who will show them anything good.
4:7,li6c,,,0,What has Yahweh put in David’s heart?,Yahweh has put more joy in his heart than others have in their hearts when their grain and new wine abound.
4:8,jsv2,,,0,Who makes David safe and secure when he lies down in peaceful sleep?,Yahweh alone makes David safe and secure.
5:1,n1aw,,,0,Who does David ask listen to what he says and understand his murmuring?,David asks Yahweh to listen to what he says and understand his distressed sigh.
5:2,ut05,,,0,What names does David use for the one who listens to the sound of his cry?,David calls him his king and his God.
5:3,slt1,,,0,What does David say he will do each morning?,David says he will prepare for Yahweh and watch.
5:4,z6sh,,,0,What does God certainly not do?,"He certainly does not approve of evil, and evil people will not be his guests."
5:5,su7k,,,0,Who will not stand in God’s presence?,The arrogant will not stand in God’s presence.
5:5,exf5,,,0,Whom does God hate?,God hates all who do evil things.
5:6,yyng,,,0,What will God do to liars?,God will destroy liars.
5:6,qa62,,,0,Who does Yahweh despise?,Yahweh despises violent and deceitful men.
5:7,tqyb,,,0,Why will David come into Yahweh’s house?,David will come into Yahweh’s house because of Yahweh’s great covenant faithfulness.
5:7,rt58,,,0,How will David bow down toward Yahweh’s holy temple?,David will bow down in reverence.
5:8,tc3b,,,0,Why does David ask Yahweh to guide him in righteousness?,David asks Yahweh to guide him in righteousness because of those who are watching him.
5:9,jh8q,,,0,How does David describe his enemies?,"David describes his enemies as untrustworthy, desiring to destroy people, speaking things that are vile like the smell of an open grave, and flattering people to trap and destroy them."
