Reference,ID,Tags,Quote,Occurrence,Question,Response
1:1,r2gg,,,0,Into what country did the sons of Israel come with Jacob?,The sons of Israel came into Egypt with Jacob.
1:5,xbyk,,,0,How many descendants of Jacob were there?,All of the descendants of Jacob were 70 in number.
1:8,vxqq,,,0,Who did not care for the memory of Joseph?,"A new king arose over Egypt, who did not care for the memory of Joseph."
1:8,wagv,,,0,What did the king of the Egyptians think would happen if they did not deal wisely with the Israelites?,"The king of the Egyptians was afraid that the Israelites would continue to multiply, and if war would break out, they would join the Egyptians’ enemies, fight against them, and leave the land."
1:11,s0rg,,,0,How did the taskmasters oppress the Israelites?,The taskmasters oppressed the Israelites with hard labor.
1:12,e3ku,,,0,What happened the more the Egyptians oppressed the Israelites?,"The more the Egyptians oppressed the Israelites, the more the Israelites increased in number and spread."
1:16,m8ha,,,0,What did the king of Egypt tell the midwives to do if the baby was a male?,"The king of Egypt told them that if the baby was male, then they must kill him."
1:17,tzxq,,,0,Why did the midwives not do as the king of Egypt ordered them?,The midwives feared God and so they did not do as the king of Egypt ordered them.
1:19,oxp0,,,0,How did the midwives say the Hebrew women were not like the Egyptian women?,They said Hebrew women were vigorous and finished giving birth before a midwife came to them.
1:22,sse2,,,0,What did Pharaoh order all his people to do to the male Hebrew babies?,Pharaoh ordered all his people to throw every male Hebrew that is born into the river.
2:2,dc4k,,,0,For how long did the woman of Levi hide her son?,The woman of Levi hid her son for three months.
2:3,b58k,,,0,With what did the woman of Levi seal the papyrus basket?,She sealed the papyrus basket with bitumen and pitch.
2:4,vo29,,,0,Why did the baby’s sister stand at a distance?,The baby’s sister stood at a distance to see what would happen to him.
2:5,uwbd,,,0,What did Pharaoh’s daughter come to do while her attendants walked along by the riverside?,Pharaoh’s daughter came down to bathe at the river while her attendants walked along by the riverside.
2:7-8,c3mv,,,0,Who did the young girl find to nurse the child for Pharaoh’s daughter?,The young girl went and got the child’s mother to nurse the child for Pharaoh’s daughter.
2:10,afnh,,,0,Who named the child Moses?,Pharaoh’s daughter named the child Moses.
2:12,espm,,,0,Where did Moses hide the body of the Egyptian whom he killed?,Moses killed the Egyptian and hid his body in the sand.
2:13,kqsm,,,0,"When two Hebrew men were fighting, whom did Moses ask, “Why are you hitting your companion?”?","When two Hebrew men were fighting, Moses said to the one who was in the wrong, “Why are you hitting your companion?”"
2:15,o04w,,,0,Why did Pharaoh not kill Moses?,"Pharaoh tried to kill Moses, but Moses fled from Pharaoh and stayed in the land of Midian."
2:17,hu5y,,,0,Who tried to drive away the daughters of the priest of Midian?,Some shepherds came and tried to drive away the daughters of the priest of Midian.
