Reference,ID,Tags,Quote,Occurrence,Question,Response
1:2,em72,,,0,What does Habakkuk ask Yahweh at the beginning of his complaint?,Habakkuk asks Yahweh how long he must cry for help without being heard or saved.
1:3,r9bg,,,0,What is Habakkuk being made to see?,"Habakkuk is being made to see iniquity and trouble, and destruction and violence are before him, along with strife and contention."
1:4,q1vn,,,0,What kind of justice is going forth?,Perverted justice goes forth.
1:6,j9w9,,,0,What does Yahweh say he is doing among the nations?,"Yahweh says he is raising up the Chaldeans, a bitter and swift nation, to march through the earth and seize territory that is not theirs."
1:7,u5ey,,,0,What kind of people are the Chaldeans?,The Chaldeans are dreadful and terrifying people.
1:9,xcbv,,,0,What do the Chaldeans gather as they come with violence?,The Chaldeans gather captives like the sand.
1:10,wcpg,,,0,What is the Chaldeans’ attitude toward other kings and rulers?,The Chaldeans mock at other kings and rulers.
1:12,c442,,,0,What has Yahweh appointed the Chaldeans to do?,Yahweh has appointed the Chaldeans for judgment and established them for correcting his people.
1:12,zuws,,,0,What titles does Habakkuk use for Yahweh?,"Habakkuk uses the titles “my God,” “Holy One,” and “Rock” for Yahweh."
1:13,ca9l,,,0,What does Habakkuk ask Yahweh about the wicked?,Habakkuk asks Yahweh why he looks at treacherous people and remains silent when the wicked devour those more righteous than themselves.
1:15,roc4,,,0,Why do the Chaldeans rejoice and exult?,"They rejoice because they gather up people like fish, pulling them in with nets and dragnets."
1:15,i195,,,0,What does Habakkuk compare to the Chaldeans’ gathering of people?,"Habakkuk compares the gathering of people to a fisherman catching fish with a hook, a net, and a dragnet."
1:17,vs7d,,,0,What does Habakkuk ask about whether the Chaldeans will show to the nations?,Habakkuk asks whether the Chaldeans will spare the nations or keep destroying them without mercy.
2:1,eh1m,,,0,For what was Habakkuk watching carefully?,Habakkuk was watching carefully to see what Yahweh would say to him and what he would respond concerning his complaint.
2:2,lv7h,,,0,What did Yahweh tell Habakkuk to do with the vision?,Yahweh told Habakkuk to write the vision and make it plain on the tablets.
2:3,gtan,,,0,What assurance did Yahweh give Habakkuk about the vision?,"Yahweh assured Habakkuk that the vision was for the appointed time, that it would not lie, and that even if it seemed to delay, it would certainly come and would not be late."
2:4,u7so,,,0,How did Yahweh say the righteous will live?,Yahweh said the righteous will live by his faithfulness.
2:5,d70f,,,0,"According to this taunt, what two things are never satisfied?","The taunt says that Sheol and death are never satisfied, just as the arrogant conqueror is never satisfied and keeps gathering more nations and peoples to himself."
2:8,xmln,,,0,"According to the taunt, what will happen to the one who plundered many nations?","The taunt says that the remainder of the peoples will plunder him in return, because of the bloodshed and violence he brought upon lands, cities, and their people."
2:9-10,keh4,,,0,What does the woe in verse 9 say about the one who gains evil gain for his house?,"The woe says that he sets his nest on high thinking he will be delivered from evil, but he has only counseled shame for his house."
2:11,fscp,,,0,"According to the taunt, what will cry out and answer because of the wrongdoing?","The taunt says that a stone will cry out from the wall, and a beam from the wood will answer it."
2:12-13,bb2y,,,0,What does the woe in verse 12 say about the one who builds a city with bloodshed?,The woe says that the one who builds a city with bloodshed and establishes a town with injustice will see the peoples’ labor go up in fire and the nations weary themselves for nothing.
2:14,bjmk,,,0,What does Yahweh promise will happen in the future?,"Yahweh promises that the earth will be filled with knowing the glory of Yahweh, just as waters cover the sea."
2:15,x559,,,0,What does the woe in verse 15 say about the one who causes his neighbor to drink?,The woe says that he pours out his wineskin and makes his neighbor drunk in order to look upon their nakedness.
2:16,cwya,,,0,What will come to the one who caused his neighbor to drink and exposed their nakedness?,"The cup of the right hand of Yahweh will come around to him, and he will receive disgrace instead of glory."
2:18,usqz,,,0,In what is the maker of a carved image placing his trust?,"He is placing his trust in his own handiwork, making mute idols that cannot speak."
2:20,pwij,,,0,What must all the earth do because Yahweh is in his holy temple?,All the earth must be silent before Yahweh.
3:2,pbgj,,,0,"Having heard Yahweh’s report, what is Habakkuk’s emotional response?","Having heard Yahweh’s report, Habakkuk is afraid."
3:2,ggre,,,0,What does Habakkuk ask Yahweh to remember?,Habakkuk asks Yahweh to remember compassion in his wrath.
3:5,ahvy,,,0,"When God came, what went before and after him?","When God came, plague went before him and fiery bolts went out at his feet."
3:6,duo0,,,0,What did Yahweh do to the nations when he looked at them?,Yahweh made the nations spring apart when he looked at them.
3:13,uq5z,,,0,Why did Yahweh go out?,Yahweh went out for the salvation of his people and his anointed one.
3:13,hic8,,,0,What does Yahweh do to the head of the house of the wicked?,Yahweh strikes the head from the house of the wicked.
3:14,nquz,,,0,What did the wicked warriors do as they came to scatter Yahweh’s people?,"As they came to scatter Yahweh’s people, the wicked warriors exulted as if to devour the afflicted in secret."
3:16,pran,,,0,For what is Habakkuk waiting quietly?,Habakkuk is waiting quietly for the day of distress to come upon the people who attack them.
3:17,ref8,,,0,What hardships does Habakkuk describe?,"Habakkuk describes fig trees not blossoming, no produce on the vines, the olive failing, fields producing no food, the flock cut off, and no cattle in the stalls."
3:18,q5h4,,,0,"Despite the hardships, what will Habakkuk do?","Despite the hardships, Habakkuk will exult in Yahweh and rejoice in the God of his salvation."
3:19,a98t,,,0,What does Yahweh the Lord do for Habakkuk?,"Yahweh the Lord is Habakkuk’s strength, makes his feet like a deer’s, and makes him tread on his high places."
