Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	z0ug			0	Who was the author of these proverbs?	Solomon, the king of Israel, was the author of these proverbs.
1:3	k8tm			0	How do these proverbs teach people to live?	These proverbs teach people about what is insightful, righteous, just, and honest.
1:5	isx5			0	What can the wise and understanding receive by listening to these proverbs?	Wise people can increase their learning, and understanding people can acquire guidance by listening to these proverbs.
1:7	u918			0	What is the beginning of knowledge?	The fear of Yahweh is the beginning of knowledge.
1:8	dd5i			0	To whose instruction should a son listen?	A son should listen to instruction from his father and mother.
1:10	pw0t			0	What should a son do if sinners try to entice him to sin?	A son should refuse to follow those who try to entice him to sin.
1:11-13	igjt			0	With what do those who are sinning plan to fill their houses?	Those who are sinning plan to fill their houses with what they steal from others.
1:15-16	xnpe			0	What do those who are sinning hurry to do?	Those who are sinning hurry to do wicked things.
1:19	i9yz			0	What does unjust gain do to those who gain unjustly?	Unjust gain will kill those who gain unjustly.
1:20-21	hcam			0	Who calls out in the streets, open areas, and city gates?	Wisdom calls out in open areas where busy streets intersect and at the entrance of the city gates.
1:24-25	ua8z			0	What did those who lacked wisdom do when Wisdom called out to them?	Those who lacked wisdom ignored what Wisdom said and refused to listen when Wisdom called out to them.
1:26	ycub			0	What will Wisdom do when calamity comes on those who lack wisdom?	Wisdom will laugh when calamity comes on those who lack wisdom.
1:28	eyy6			0	What will Wisdom do when those who lack wisdom call upon her?	Wisdom will not answer when those who lack wisdom call upon her.
1:31	ltiu			0	With what will those who lack wisdom be filled?	Those who lack wisdom will suffer rightly for their plans and for what they have done.
1:33	e2i3			0	How will those live who listen to Wisdom?	Those who listen to Wisdom will live safely and not dread evil.
2:1	u1uo			0	What does the father want his son to store up as precious?	The father wants his son to consider his commandments to be precious.
2:3-4	hi26			0	How should the son seek and search for insight and understanding?	The son should seek insight and understanding as silver, and search for it as a hidden treasure.
2:4-5	alr2			0	If the son seeks and searches for understanding as silver, what will he find?	The son will find the knowledge of God.
2:6-7	uagq			0	What is Yahweh for those who walk in integrity?	Yahweh is a shield for those who walking with integrity.
2:9-10	t7vt			0	When wisdom comes into the son’s heart, what will he understand?	The son will understand righteousness, justice, and integrity.
2:11-12	o2o9			0	From what will discretion and understanding rescue the son?	Discretion and understanding will rescue the son from the way of evil and from people who speak perversely.
2:13	r2yl			0	What do those who walk in the ways of darkness forsake?	Those who walk in the ways of darkness forsake the paths of straightness, they refuse to behave righteously.
2:16-17	zla9			0	What does the strange woman forsake and forget?	The strange woman forsakes the companion of her youth and forgets the covenant of her God.
2:18	tli0			0	To where do the immoral woman’s tracks lead?	The immoral woman’s tracks lead down to death.
2:20	t1zc			0	In whose way should the son walk?	The son should walk, or behave like a righteous person.
2:21	mb2l			0	What will happen to those who live uprightly?	People who live uprightly will stay in this land for a long time.
2:22	xet3			0	What will happen to those who are wicked?	Those who are wicked will be removed from the land.
