Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	bh82			0	How did Paul become an apostle?	Paul became an apostle through Jesus Christ and God the Father.
1:4	q9lg			0	From what have believers in Jesus Christ been delivered?	Believers in Jesus Christ have been delivered from this present evil age.
1:6	et4q			0	With what is Paul amazed with the church in Galatia?	Paul is amazed that they are turning so quickly to a different gospel.
1:7	nnd7			0	How many true gospels are there?	There is only one true gospel, the gospel of Christ.
1:8-9	duup			0	What does Paul say should happen to anyone proclaiming a different gospel than the gospel of Christ?	Paul says anyone proclaiming a different gospel should be cursed.
1:10	hguy			0	Servants of Christ must seek the approval of whom first?	Servants of Christ must seek the approval of God first.
1:12	etbx			0	How did Paul receive the knowledge of the gospel of Christ?	Paul received the gospel of Christ by revelation from Jesus Christ directly to himself.
1:13-14	fmu8			0	What was Paul doing in his life before he received the revelation of the gospel of Christ?	Paul was following Judaism zealously, persecuting the church of God and destroying it.
1:15	ws4e			0	When did God choose Paul to be his apostle?	God was pleased to choose Paul from his mother’s womb to be his apostle.
1:16	gv0o			0	For what purpose did God choose Paul as his apostle?	God chose Paul as his apostle so that Paul would proclaim Christ among the Gentiles.
1:18-19	n7ls			0	Where did Paul finally meet some of the other apostles?	Finally, Paul went to Jerusalem and met the apostles Cephas and James.
1:22-23	fxfg			0	What were the churches in Judea hearing about Paul?	The churches in Judea were hearing that Paul, who once persecuted the church, was now proclaiming the faith.
2:1-2	sg6l			0	What did Paul do when he went up to Jerusalem after 14 years?	Paul spoke privately to the leaders of the church, explaining to them the gospel that he was proclaiming.
2:3	ryvx			0	What was Titus, a Gentile, not required to do?	Titus was not required to be circumcised.
2:4	n7kn			0	What did the false brothers desire to do?	The false brothers desired to make Paul and his companions slaves to the law.
2:6	l735			0	Did the leaders of the church in Jerusalem change Paul’s message?	No, they added nothing to Paul’s message.
2:7-8	gi1g			0	To whom was Paul primarily sent to proclaim the gospel?	Paul was primarily sent to the uncircumcised, the Gentiles, to proclaim the gospel.
