Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	i4zd			0	What did God create in the beginning?	God created the heavens and the earth.
1:2	hxnl			0	What was the Spirit of God doing in the beginning?	The Spirit of God was moving above the surface of the waters.
1:3	yzts			0	How did God create light?	God created light by saying, “Let there be light.”
1:7-8	op7t			0	What did God make on the second day?	God made the sky, which he called the “Heavens,” between the expanses of water.
1:10	mv7g			0	What did God call the dry ground and the gathered waters?	God called the dry ground “Land,” and the gathered waters he called “Seas.”
1:11-12	nc8q			0	What living things did God make on the third day?	God made plants, fruit trees, and vegetation on the third day.
1:14	kh88			0	What is the purpose of the lights in the sky?	They are to divide the day from the night, and for signs, and for seasons, and for days and years.
1:16	mgsa			0	What did God make on the fourth day?	God made the two great lights and the stars.
1:21	next			0	What did God make on the fifth day?	God made the living creatures of the water, and birds.
1:22	yzpe			0	What command did God give the sea creatures and birds?	Be fruitful, and multiply.
1:26	gfpf			0	What did God make in his image?	God made man in his image.
1:26	j7tv			0	Over what things was man made to rule?	God made man to rule over the fish of the sea, over the birds of the sky, over the livestock, over all the earth, and over every creeping thing that moves upon the earth.
1:27	zj7a			0	What was different about how God made man?	God created man in his own image.
1:28	jh4n			0	What command did God give man?	He told man to be fruitful and multiply, fill the earth and subdue it.
1:29	utrp			0	What did God give man to eat?	God gave them every plant yielding seed and every tree with fruit.
1:31	bkv3			0	When God saw everything that he had made, what did he think about it?	God thought it was very good.
2:2-3	e07v			0	What did God do on the seventh day?	He rested from all his work, and he blessed and sanctified the day.
2:6	aeiq			0	Before Yahweh caused it to rain, how was the earth watered?	A mist went up from the earth.
2:7	be0g			0	How did Yahweh make man?	Yahweh formed man from the dust of the ground and breathed the breath of life into him.
2:8	knt5			0	Where did Yahweh first put the man?	Yahweh first put man in the garden in Eden.
2:9	sx2v			0	What two trees were in the midst of the garden?	The tree of life and the tree of the knowledge of good and evil.
2:15	oslv			0	What was the man to do in the garden?	He was to work and take care of the garden.
2:16-17	suff			0	What command did Yahweh give the man about what to eat?	You may freely eat from every tree in the garden except the tree of the knowledge of good and evil.
2:17	mgve			0	What did Yahweh say would happen if the man violated this command?	In the day when the man violated the command, he would surely die.
2:18	aqbq			0	What did Yahweh say was not good?	He said it was not good that the man was alone.
2:19	wtq6			0	What did Yahweh have the man do with every living creature?	The man gave every living creature a name.
2:20	rzis			0	What was not found among all the living creatures?	A suitable helper was not found for the man.
2:21-22	ao3f			0	How did Yahweh make the woman?	Yahweh caused the man to sleep and took one of the man’s ribs and made the woman from it.
2:23	goh1			0	Why did the man call her “woman”?	Because she was taken from the man.
2:24	lk7u			0	How do a man and woman become one flesh?	The man will unite to the woman as his wife.
2:25	cdnj			0	Were the man and his wife ashamed of being naked?	No.
3:1	o2a7			0	What was the first question that the serpent asked the woman?	The serpent asked the woman, “Did God really say, ‘You must not eat from any tree of the garden’?”
3:4	m1ii			0	When the woman said God told them they would die if they ate from the tree in the middle of the garden, what did the serpent say?	The serpent said, “You will not surely die.”
3:5	sy1i			0	What did the serpent say would happen to the man and woman if they ate of the fruit?	The serpent said they would be like God, knowing good and evil.
3:6	vj2q			0	What attracted the woman to the fruit of the tree?	She saw it was good for food, pleasing to the eyes, and desirable for gaining wisdom.
3:6	t4vf			0	Who ate of the fruit?	The woman ate, and gave some to her husband, who also ate.
3:7	jx3e			0	What happened to them when they ate of the fruit?	When they ate, their eyes were opened and they knew that they were naked.
3:8	rpas			0	What did the man and woman do when God came into the garden?	They hid themselves from God.
3:10	qg1v			0	Why did the man hide himself from God when he came into the garden?	The man hid himself from God because he was naked, and therefore, afraid.
3:12	pdzg			0	Who did the man say was responsible for giving him the fruit?	The man said the woman was responsible.
3:13	i7px			0	Who did the woman say was responsible for tempting her to eat the fruit?	The woman said that the serpent deceived her.
3:15	ycko			0	What kind of relationship did God say he would cause to exist between the serpent and the woman?	God said he would cause hostility between them.
3:16	sdzi			0	What curse did God give the woman regarding childbirth?	God greatly multiplied the woman’s pain in childbirth.
3:17	pvbu			0	What curse did God give the man regarding his work?	God cursed the ground so that only by painful toil would the man eat from it.
3:20	ip5m			0	What name did the man give the woman, and why?	The man called the woman Eve, because she was the mother of all the living.
3:21	sh4y			0	What did God make for Adam and Eve, and why?	God made them garments of skins in order to clothe them.
3:22	dgha			0	Why did God say that now Adam must not eat of the tree of life?	God said that since Adam now knew good and evil, he must not eat of the tree of life, because if he did, he would live forever.
3:24	w4mi			0	What did God do to prevent Adam from eating from the tree of life?	God drove the man out of the garden and placed cherubim there to guard the way to the tree of life.
4:2	hvck			0	What work did Cain and Abel do?	Cain worked the soil, and Abel was a shepherd.
4:3	zng3			0	What offering did Cain bring to Yahweh?	Cain brought some of the fruit of the ground.
4:4	spqa			0	What offering did Abel bring to Yahweh?	Abel brought some of the firstborn of his flock and some of their fat.
4:4-5	fsdk			0	How did Yahweh respond to the offerings of Cain and Abel?	Yahweh accepted Abel’s offering, but did not accept Cain’s offering.
4:5	dpza			0	How did Cain react?	Cain was very angry, and his face looked dejected.
4:7	rwzz			0	What did Yahweh tell Cain he needed to do in order to be accepted?	Yahweh told Cain to do what is right, and he would be accepted.
4:8	nvrb			0	Later, what happened with Cain and Abel in the field?	Cain rose up and killed Abel.
4:9	lkqj			0	When Yahweh asked Cain where his brother was, what did Cain say?	Cain said, “I do not know. Am I my brother’s keeper?”
4:12	sxes			0	What was God’s curse on Cain?	God’s curse on Cain was that the earth would not yield its strength to him, and he would be a fugitive and wanderer.
4:15	l7zo			0	What did Yahweh do to make sure no one killed Cain?	Yahweh put a mark on Cain.
4:16	tgdd			0	Where did Cain go to live?	Cain lived in the land of Nod, east of Eden.
4:19	gocu			0	Cain’s descendant Lamech had how many wives?	Lamech had two wives.
4:23	ky2y			0	What did Lamech tell his wives he had done?	Lamech told his wives that he had killed a man who wounded him.
4:25	ssri			0	What was the name of another son born to Adam and Eve?	Another son of Adam and Eve was named Seth.
4:26	t19n			0	What did people begin to do in the days of Seth’s son Enosh?	People began to call upon the name of Yahweh.
5:1	fl8q			0	Of what is chapter five of Genesis a record?	Chapter five of Genesis is a record of the generations of Adam.
5:1	visf			0	In whose likeness was mankind made?	Mankind was made in God’s likeness.
5:2	c05d			0	What genders of mankind did God create?	God created mankind male and female.
5:5	bfwb			0	How long did Adam live?	Adam lived 930 years.
5:8	fzjq			0	How long did Seth live?	Seth lived 912 years.
5:14	rhm3			0	How long did Kenan live?	Kenan lived 910 years.
5:20	gkv0			0	How long did Jared live?	Jared lived 962 years.
5:24	f1dr			0	What was Enoch’s relationship with God, and what happened to him?	Enoch walked with God, and God took him.
