Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	biiw			0	How did Paul become an apostle of Christ Jesus?	Paul became an apostle of Christ Jesus through the will of God.
1:2	vnnj			0	To whom did Paul write this letter?	Paul wrote to those set apart for God and the faithful brothers at Colossae.
1:5	qqwf			0	From where did the Colossians hear about the confident expectation that they now have?	The Colossians heard about their confident expectation in the word of truth, the gospel.
1:6	qikj			0	What does Paul say the gospel has been doing in the world?	Paul says the gospel has been bearing fruit and growing in all the world.
1:7	dmf2			0	Who presented the gospel to the Colossians?	Epaphras, the faithful servant of Christ, presented the gospel to the Colossians.
1:9	ausf			0	With what does Paul pray that the Colossians be filled?	Paul prays that the Colossians be filled with the knowledge of God’s will in all wisdom and spiritual understanding.
1:10	f2yy			0	How does Paul pray that the Colossians will walk in their lives?	Paul prays that the Colossians will walk worthy of the Lord, bearing fruit with good deeds, growing in the knowledge of God.
1:12	qrlr			0	For what have those set apart for God been qualified?	Those set apart for God have been qualified for a share in the inheritance in the light.
1:13	y7as			0	From what has the Father rescued those set apart for him?	He rescued them from the dominion of darkness and transferred them to the kingdom of his Son.
1:14	z9ct			0	In Christ, we have redemption, which is what?	In Christ we have redemption, which is the forgiveness of sins.
1:15	s0kt			0	The Son is the image of whom?	The Son is the image of the invisible God.
1:16	zfor			0	What was created through Jesus Christ and for him?	All things were created through Jesus Christ and for him.
1:20	r641			0	How did God reconcile all things to himself?	God reconciled all things to himself when he made peace through his Son’s blood.
1:21	xtyt			0	What relationship did the Colossians have with God before they believed the gospel?	Before believing the gospel, the Colossians were separated from God and were his enemies.
1:23	xys7			0	What must the Colossians continue to do?	The Colossians must continue to be settled in the faith and confident of the gospel.
1:24	bn1j			0	For whose sake is Paul suffering, and what is his attitude?	Paul is suffering for the sake of the church, and he rejoices in it.
1:27	lkx8			0	What is the mystery that was hidden for ages but now has been revealed?	The mystery that was hidden for ages but now has been revealed is Christ in you, the confidence of glory.
1:28	teww			0	What is the goal for which Paul is admonishing and teaching every man?	Paul’s goal is to present every person complete in Christ.
2:2	khgw			0	What is the mystery of God?	The mystery of God is Christ.
2:3	uqaw			0	What is hidden in Christ?	All the hidden treasures of wisdom and knowledge are hidden in Christ.
2:4	dzdw			0	What is Paul concerned that might happen to the Colossians?	Paul is concerned that the Colossians might be deceived with persuasive speech.
