Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-3	owce			0	What did Yahweh tell Joshua to do after the death of Moses?	Yahweh told Joshua to arise, cross the Jordan River with all the people, and go into the land he was giving to the sons of Israel.
1:5	ntge			0	Why did Yahweh say that no one would be able to stand against Joshua?	Yahweh said that no one would be able to stand against Joshua because Yahweh would be with Joshua just as he had been with Moses.
1:7	umky			0	What did Yahweh ask Joshua to do regarding the law of Moses?	Yahweh asked Joshua to be strong and very courageous, and to be careful to do according to all the law that Moses commanded, not turning from it to the right or to the left.
1:8	rk5v			0	What did Yahweh tell Joshua he should meditate on day and night?	Yahweh told Joshua that the book of the law should not depart from his mouth, but he should meditate on it day and night.
1:11	evy2			0	What did Joshua tell the officers of the people to command the people?	Joshua told the officers to command the people to prepare provisions for themselves because within three days they would cross the Jordan to possess the land Yahweh was giving them.
1:13	ae9h			0	What did Joshua remind the people that Moses had said Yahweh would give them?	Joshua reminded the people that Moses had said, “Yahweh your God is giving rest to you, and he will give to you this land.”
1:14	uyoh			0	What did Joshua tell the Reubenites, the Gadites, and half the tribe of Manasseh to do?	Joshua told them that their wives, children, and livestock could remain in the land Moses had given them east of the Jordan, but all their warriors, being armed, should cross over to help their brothers.
1:16	tsuq			0	How did the people answer Joshua’s commands?	The people answered Joshua by saying they would do all that he had commanded them and go wherever he sent them.
2:1	nua6			0	Where did the two spies stay when Joshua sent them to see the land and Jericho?	The two spies stayed at the house of a prostitute named Rahab in Jericho.
2:4	c19y			0	What did Rahab do with the two spies when the king of Jericho sent men to find them?	When the king’s men came to Rahab looking for the spies, she had hidden the spies, and she denied knowing where they were.
2:5	hxaq			0	What did Rahab tell the men from the king of Jericho about the spies?	Rahab told the king’s men that the spies had come to her, but she did not know where they were from, and they left at dark when the gate was about to shut. She told the men to pursue them quickly to overtake them.
2:9	bvtl			0	What reason did Rahab give the spies for why she had hidden them?	Rahab told the spies that she knew Yahweh had given them the land and that the dread of them had fallen on her people.
2:10	q1re			0	What reports had made Rahab believe Yahweh had given the Israelites the land?	Rahab said she believed Yahweh had given the Israelites the land because she had heard how Yahweh dried up the water of the Sea of Reeds for them and what they did to the two Amorite kings, Sihon and Og.
2:13	jva0			0	What did Rahab ask the spies to do for her and her family?	Rahab asked the spies to swear by Yahweh that they would keep her father, mother, brothers, sisters, and all their households alive and deliver them from death.
2:14	yh09			0	What did the spies promise Rahab?	The spies promised Rahab that their lives would be given in place of hers if she did not tell about their mission, and they would deal kindly and faithfully with her when Yahweh gave them the land.
2:18	sjfw			0	What did the spies tell Rahab she must do for her and her family to be safe when they came into the land?	The spies told Rahab to tie a scarlet cord in the window and gather her father, mother, brothers, and all her father’s household into her house.
2:24	rzdg			0	What did the spies report to Joshua when they returned?	The spies told Joshua that Yahweh had given all the land into their hand and that all the inhabitants of the land were melting because of them.
3:2-3	lnoj			0	What did the officers tell the people to do when they saw the Levite priests carrying the Box of the Covenant of Yahweh?	The officers told the people that when they saw the Box of the Covenant and the priests carrying it, they should set out from their place and follow it.
3:3-4	b05r			0	Why did the officers tell the people to stay about 2,000 cubits behind the Box of the Covenant of Yahweh?	The officers told the people to stay that far behind the Box of the Covenant so they would know the way to go, since they had not passed that way before.
3:5	t8xv			0	What did Joshua say Yahweh was going to do among the people the next day?	Joshua said that Yahweh was going to do wonders for the people the next day.
3:8	o9g3			0	What did Yahweh tell Joshua to command the priests carrying the Box of the Covenant when they reached the edge of the Jordan River?	Yahweh told Joshua to command the priests to stand still in the Jordan River once they reached the edge of its waters.
3:13	pl70			0	What did Joshua tell the people would happen when the soles of the feet of the priests carrying the Box of Yahweh rested in the waters of the Jordan?	Joshua told the people that as soon as the soles of the priests’ feet rested in the Jordan’s waters, the waters flowing from above would be cut off and stand in one heap.
3:16	v53o			0	Where did the people cross the Jordan River?	The people crossed the Jordan opposite Jericho, while the waters from above stood in a heap far away at Adam.
3:17	u449			0	What did the priests who carried the Box of the Covenant of Yahweh do while all Israel crossed the Jordan?	The priests who carried the Box of the Covenant stood firmly on dry ground in the middle of the Jordan River until all the nation had finished crossing.
4:3	twah			0	What did Yahweh tell Joshua to command 12 men (one from each tribe) to do?	Yahweh told Joshua to command the 12 men to take 12 stones from the middle of the Jordan, from where the priests’ feet stood, and carry them to their lodging place.
4:7	z1y3			0	What did Joshua say was the purpose of the 12 stones taken from the Jordan River?	The stones would be a memorial to the people of Israel forever, because the waters of the Jordan were cut off before the Box of the Covenant of Yahweh when it crossed.
4:13	q0ty			0	About how many armed warriors crossed over before Yahweh to the plains of Jericho for battle?	About 40,000 armed warriors crossed over before Yahweh to the plains of Jericho for battle.
4:18	kfnz			0	What happened when the priests who carried the Box of the Covenant of Yahweh came up out of the Jordan and their feet touched dry ground?	When the priests’ feet touched dry ground, the waters of the Jordan returned to their place and flowed over all its banks as before.
4:20	qicp			0	Where did Joshua set up the 12 stones that the men had taken out of the Jordan?	At Gilgal Joshua set up the 12 stones that came out of the Jordan.
4:24	ljkp			0	Why did Joshua say the people should tell their children what Yahweh had done for them at the Jordan?	Joshua said they should tell their children so that all the peoples of the earth might know Yahweh’s hand is mighty, and so that they might fear Yahweh their God all the days.
5:1	j4ux			0	What was the reaction of the Amorite and Canaanite kings when they heard Yahweh had dried up the Jordan’s waters for Israel?	When the kings heard how Yahweh had dried up the Jordan’s waters, their hearts melted, and there was no longer any spirit in them because of the sons of Israel.
5:2	ghz5			0	What did Yahweh command Joshua to make and do a second time for the sons of Israel?	Yahweh commanded Joshua to make flint knives and circumcise the sons of Israel a second time.
5:7	tyqk			0	Why did Joshua have to circumcise the sons of those who came out of Egypt?	Joshua had to circumcise them because they were uncircumcised, as they had not been circumcised while they were traveling in the wilderness.
5:10	rbcb			0	What festival did the sons of Israel celebrate while camped at Gilgal on the plains of Jericho?	While camped at Gilgal, the sons of Israel celebrated the Passover on the evening of the fourteenth day of the month.
5:12	z3d5			0	What food stopped the day after the people of Israel ate the produce of the land of Canaan?	The manna stopped the day after they ate the produce of the land, and the sons of Israel no longer had manna.
5:13	qrei			0	Who did Joshua see standing in front of him with a drawn sword when he was by Jericho?	Joshua saw a man standing in front of him with his drawn sword in his hand.
5:14	btkj			0	Who did the man with the drawn sword say he was?	The man with the drawn sword told Joshua that he had come as the commander of the army of Yahweh.
5:14	zt6z			0	What did Joshua ask the commander of Yahweh’s army?	Joshua fell on his face to the earth, bowed down, and asked what his lord was speaking to his servant.
5:15	fojd			0	What did the commander of Yahweh’s army tell Joshua to do because the place on which he was standing was holy?	The commander of Yahweh’s army told Joshua to remove his sandals from his feet because the place on which he was standing was holy.
6:2	sw2r			0	What did Yahweh promise Joshua concerning Jericho, its king, and its warriors?	Yahweh promised Joshua that he had given Jericho, its king, and its warriors into Joshua’s hand.
6:3	oaow			0	How were the men of war to circle the city of Jericho for six days?	All the men of war were to circle the city, going around it one time each day for six days.
6:4-5	wlqa			0	What did Yahweh tell Joshua should happen on the seventh day involving priests, shofars, and the people?	Yahweh told him that seven priests should carry seven shofars before the Box, and on the seventh day the people should circle the city seven times while the priests blew the shofars; then, at a long blast, all the people should shout.
6:5	k5ew			0	What did Yahweh say would happen to the city wall when the people shouted on the seventh day?	Yahweh said the wall of the city would collapse unto itself, and the people should go up, every man straight into the city.
6:10	du2y			0	What did Joshua command the people not to do until he told them to shout?	Joshua commanded the people not to shout, nor let their voice be heard, nor let a word go out of their mouth until the day he told them to shout.
6:17	ju5x			0	Who did Joshua say would live when the city of Jericho was devoted to Yahweh, and why?	Joshua said that only Rahab the prostitute and all who were with her in her house would live, because she hid the messengers they sent.
6:19	s5yy			0	What did Joshua declare was holy to Yahweh and must enter Yahweh’s treasury?	Joshua declared that all the silver, gold, and objects of bronze and iron were holy to Yahweh and must enter Yahweh’s treasury.
6:21	of2z			0	What did the people of Israel do to everything in the city after the walls of Jericho fell?	The people of Israel devoted to destruction by the sword all that was in the city—men and women, young and old, oxen, sheep, and donkeys.
6:22	gyhl			0	What did Joshua command the two men who had spied out the land to do regarding Rahab?	Joshua commanded the two spies to go into the prostitute’s house and bring her out, and all who belonged to her, as they had sworn to her.
6:26	p411			0	What curse did Joshua pronounce on the man who would rebuild Jericho?	Joshua said that the man who rebuilt Jericho would be cursed before Yahweh: he would lay its foundation with his firstborn and set up its gates with his youngest son.
