Reference,ID,Tags,Quote,Occurrence,Question,Response
1:1,s9rj,,,0,How does Paul describe the people he is writing to in this letter?,"Paul describes the people he is writing to as saints, and as faithfully trusting in Christ Jesus."
1:3,c6di,,,0,With what has God the Father blessed believers?,God the Father has blessed believers with every spiritual blessing in the heavenly places in Christ.
1:4,eph8,,,0,When did God the Father choose those who believe in Christ?,God the Father chose those who believe in Christ before the foundation of the world.
1:4,cgvj,,,0,For what purpose did God the Father choose the believers?,God the Father chose the believers so they could be holy and blameless before him.
1:5,x0f2,,,0,Why did God destine the believers in advance for adoption?,God destined the believers in advance because he was pleased to do it.
1:6,a777,,,0,Why did God destine the believers in advance for adoption?,God destined the believers in advance so that he would be praised for his glorious grace.
1:7,dptl,,,0,"What do believers receive through the blood of Christ, God’s beloved one?","Believers receive redemption, the forgiveness of their trespasses through the blood Christ."
1:10,q6gc,,,0,What will God do when the times for the completion of his plan come?,God will bring together everything in heaven and on the earth under Christ.
1:13,m2sm,,,0,What seal did the believers receive when they heard the word of truth?,The believers were sealed with the promised Holy Spirit.
1:14,e9da,,,0,Of what is the Spirit a down payment?,The Spirit is a down payment of the inheritance of believers.
1:18,wdw4,,,0,What does Paul pray the Ephesians will be enlightened to understand?,Paul prays that the Ephesians will be enlightened to understand the hope of their calling and the glorious riches of Christ’s inheritance in the saints.
1:20,u36i,,,0,What did the same power that now works in the believers do in Christ?,The same power raised Christ from the dead and seated him at God’s right hand in the heavenly places.
1:22,nc6y,,,0,What has God put under Christ’s feet?,God has put all things under Christ’s feet.
1:22,ybk9,,,0,What is Christ’s position of authority in the Church?,Christ is the head over all things in the Church.
1:23,zi2i,,,0,What is the Church?,The Church is Christ’s body.
2:1,rv6g,,,0,What is the spiritual condition of all unbelievers?,All unbelievers are dead in their trespasses and sins.
2:2,u66r,,,0,Who is working in the sons of disobedience?,The ruler of the authorities of the air is working in the sons of disobedience.
2:3,p8m8,,,0,"By nature, what are all unbelievers?",All unbelievers are by nature children of wrath.
2:4,cxpy,,,0,Why is God rich in mercy towards believers?,God is rich mercy because of his great love.
2:5,n3sw,,,0,By what have believers been saved?,Believers have been saved by God’s grace.
2:6,e4zl,,,0,Where are believers seated?,Believers are seated in the heavenly places with Christ Jesus.
2:7,i4ud,,,0,For what purpose has God saved and raised up believers?,God has saved and raised up believers so that in the ages that are coming he might show them the great riches of his grace.
2:8,ae42,,,0,How have we been saved?,We have been saved by grace through faith as God’s gift.
2:9,rffw,,,0,Why should believer not boast?,No believer should boast because he is not saved by his own works.
2:10,fa4e,,,0,For what purpose has God created believers in Christ Jesus?,God’s purpose for believers in Christ Jesus is that they should walk in good works.
2:12,cvho,,,0,What is the spiritual condition of unbelieving Gentiles?,"Unbelieving Gentiles are separated from Christ, alienated from Israel, strangers to the covenants, without hope and without God."
2:13,bqaq,,,0,What has brought some Gentile unbelievers near to God?,Some Gentile unbelievers have been brought near to God by the blood of Christ.
2:14,rg90,,,0,How did Christ change the relationship between Gentiles and Jews?,"Christ made believing Gentiles and Jews into one group, destroying the hostility that divided them."
2:15,dpj6,,,0,What did Christ abolish in order to make peace between Jews and Gentiles?,Christ abolished the law of commandments and regulations in order to make peace between Jews and Gentiles.
2:18,ep5a,,,0,By what means do all believers have access to the Father?,All believers have access to the Father by means of the Holy Spirit.
2:20,lv8o,,,0,On what foundation is God’s family built?,"God’s family is built on the foundation of the apostles and prophets, Christ Jesus being the cornerstone."
2:21,u5xp,,,0,What kind of building are believers becoming?,They are becoming a holy temple for the Lord.
2:22,d49d,,,0,Where does God dwell in the Spirit?,God dwells in the Spirit within believers.
3:2,vu26,,,0,For whose benefit did God give Paul his stewardship?,God gave Paul his stewardship for the benefit of the Gentiles.
3:3,jffu,,,0,What was made known to Paul?,The revelation about the mystery was made known to Paul.
3:5,z1rj,,,0,To whom has God revealed what was not made known to the human race in other generations?,God revealed the hidden truth about Christ to his apostles and prophets.
3:6,yqfk,,,0,What hidden truth has been revealed?,"The hidden truth revealed is that the Gentiles are fellow heirs and fellow members of the body, and fellow sharers in the promise in Christ Jesus."
3:7,pze1,,,0,What gift was given to Paul?,The gift of God’s grace was given to Paul.
3:9,vmv4,,,0,About what was Paul sent to help the Gentiles understand?,Paul was sent to help the Gentiles understand the administration of the mystery that was hidden from the ages in God.
3:10,b78b,,,0,Through what will the complex wisdom of God be made known?,Through the church the complex wisdom of God will be made known.
3:12,nmv2,,,0,What does Paul say believers have because of faith in Christ?,Paul says believers have boldness and access with confidence because of faith in Christ.
3:15,hwo6,,,0,What is named and created after the Father?,Every family in heaven and on earth is named and created after the Father.
