Reference	ID	Tags	Quote	Occurrence	Question	Response
1:2	rxnu			0	Who would lead the people of Israel when they went up against the Canaanites to fight against them?	Judah would lead the people of Israel against the Canaanites to fight against them.
1:5	cciw			0	Against whom did the soldiers of Judah fight?	The soldiers of Judah fought against the Canaanites, the Perizzites, and Adoni-Bezek.
1:7	fe58			0	Who gathered their food from under Adoni-Bezek’s table?	Seventy kings, who had their thumbs and their big toes cut off, gathered their food from beneath Adoni-Bezek’s table.
1:10	ntzn			0	What was the previous name of Hebron?	The name of Hebron was previously Kiriath Arba.
1:13	uct9			0	What did Caleb give to Othniel?	Caleb gave Achsah, his daughter, to be Othniel’s wife.
1:15	f9oy			0	Since Achsah was given land in the Negev, what did she want her father to give her?	Since Achsah now had land in the Negev, she wanted him to give her springs of water.
1:16	sjw4			0	Where is the wilderness of Judah?	The wilderness of Judah is in the Negev.
1:19	ofm8			0	Why could the people of Judah not drive out the dwellers of the valley?	They could not drive out the dwellers of the valley because they had iron chariots.
1:21	sdu5			0	Why did the Jebusites live with the people of Benjamin in Jerusalem?	Because the people of Benjamin did not drive out the Jebusites who inhabited Jerusalem, the Jebusites lived with the people of Benjamin in Jerusalem.
1:25	oj2h			0	What happened to the man who showed the spies from the house of Joseph how to get into Bethel?	The spies let the man and his family get away.
1:28	z5s6			0	When Israel became strong, what did they do to the Canaanites?	When Israel became strong, they forced the Canaanites to serve them with hard labor, but they never drove them out completely.
1:32	lwez			0	Why did the tribe of Asher live among the Canaanites?	The tribe of Asher lived among the Canaanites because they did not drive the Canaanites out of the land.
1:35	ml1t			0	Who conquered the Amorites at Mount Heres, in Aijalon, and in Shaalbim?	The house of Joseph conquered them.
2:1	btmw			0	Where did the angel of Yahweh bring the people of Israel?	The angel of Yahweh brought them to the land he swore to give to their fathers.
2:4	r08t			0	When the angel said he would not drive the Canaanites out before the people of Israel, what did they do?	When the angel said he would not drive the Canaanites out before the people of Israel, they cried out and wept.
2:7	tq1t			0	How long did the people serve Yahweh?	The people served Yahweh during the lifetimes of Joshua and of the elders who outlived him.
2:12	ki7r			0	What gods did the people of Israel go after?	The people of Israel went after the gods of the peoples who were around them.
2:15	nw5v			0	What had Yahweh sworn to Israel?	Yahweh had sworn that wherever Israel went out to fight, Yahweh would allow their enemies to defeat them.
2:16	yjrx			0	What did the judges do?	The judges saved the people of Israel from the power of those who were stealing their possessions.
2:19	ky9w			0	What happened when the judge died?	When the judge died, the people of Israel would turn away and do things that were even more corrupt than their fathers had done.
2:22	x5yy			0	Why would Yahweh not drive out from Israel any of the nations that Joshua left when he died?	Yahweh would not drive out from Israel any of the nations that Joshua left when he died, so that Yahweh could test Israel to see whether or not they would do what Yahweh wanted them to do as their ancestors had.
3:1	zoo6			0	Why did Yahweh leave nations to test Israel?	Yahweh left nations to test Israel to teach warfare to the new generation of the Israelites who had not known it before.
3:4	jjnm			0	What would Yahweh do by means of the remaining nations?	Yahweh would test Israel by means of the remaining nations to confirm whether they would obey the commandments he gave their ancestors through Moses.
3:7	rlje			0	What did the people of Israel serve?	They served the Baals and the Asherahs.
3:9	y8jl			0	Who did Yahweh first raise up, who would come to help the people of Israel?	Yahweh first raised up Othniel, the son of Kenaz, Caleb’s younger brother.
3:12	omwr			0	Who gave strength to Eglon, the king of Moab?	Yahweh gave strength to Eglon, the king of Moab.
3:15	nc6z			0	When did Yahweh raise up Ehud to help the people of Israel?	Yahweh raised up Ehud to help the people of Israel when they cried out to him for help.
3:16	mglj			0	Where did Ehud strap on the sword he made?	He strapped it on under his clothing on his right thigh.
3:20	e1qq			0	Who was with Ehud and the king when Ehud told him the message?	Only Ehud and the king were there.
3:22	hwhd			0	Why did fat close over the handle of the sword?	Fat closed over the handle because Ehud did not draw the sword out of the king’s body.
3:24	bqhn			0	When the king’s servants saw that the doors of the upper room were bolted, what did they think?	When the king’s servants saw that the doors of the upper room were bolted, they thought he was relieving himself in the coolness of the upper room.
3:26	x647			0	When did Ehud escape?	While the servants were waiting, wondering what they should do, Ehud escaped.
3:28	h8p8			0	How did the people of Israel prevent the Moabites from crossing the river?	The people of Israel captured the fords of the Jordan across from the Moabites.
3:31	nyif			0	With what did Shamgar kill 600 Philistines?	Shamgar killed the Philistines with a stick used to goad the cattle.
4:3	b15e			0	Why did the people of Israel call out to Yahweh for help?	The people of Israel called out to Yahweh for help because Sisera had 900 iron chariots and he had been oppressing the people of Israel for 20 years.
4:5	ohfp			0	Why did the people of Israel come to Deborah?	The people of Israel came to Deborah to settle their disputes.
4:7	ms4g			0	Where would Yahweh make Sisera meet Barak?	Yahweh would make Sisera meet Barak by the river of Kishon.
4:9	hyex			0	Why would Yahweh make a woman defeat Sisera?	Yahweh would make a woman defeat Sisera because Barak would not go without Deborah.
4:11	fx2l			0	From whom did the Kenites descend?	The Kenites descended from Hobab, Moses’ father-in-law.
4:16	klih			0	How many of the army of Sisera survived?	None of the army of Sisera survived.
4:17	lf7a			0	Why did Sisera go to the tent of Jael?	Sisera went to the tent of Jael because there was peace between Jabin the king of Hazor, and the house of Heber, Jael’s husband.
4:19	dv9s			0	When Sisera asked for water, what did Jael give him?	When Sisera asked for water, Jael gave him milk.
4:21	sw16			0	How did Jael kill Sisera?	Jael hammered the tent peg into the side of his head and it pierced through him and went down into the ground.
5:4	xl77			0	When did the earth shake?	The earth shook when Yahweh went out from Seir, when he marched from Edom.
5:8	ue4f			0	What was not seen among 40,000 in Israel?	Neither shields nor spears were seen among 40,000 in Israel.
5:10	lkwt			0	What things were used as saddles on the white donkeys?	Carpets were used as saddles on the white donkeys.
5:13	le8v			0	Why did the people of Yahweh come down?	The people of Yahweh came down to help Barak fight against the warriors.
5:18	o6q3			0	What would Zebulun risk?	The people of Zebulun would risk their lives to the point of death.
5:20	jm7o			0	What fought against Sisera from their courses across the heavens?	The stars fought against Sisera as they moved across the heavens.
5:23	rpf0			0	Why did the angel of Yahweh curse Meroz?	The angel of Yahweh cursed Meroz because they did not come to help Yahweh.
5:26	d5ng			0	To what did Jael put her hand?	In one hand she took the tent peg and in her other hand, a workman’s hammer.
5:28	p4ht			0	Where did the mother of Sisera look out?	The mother of Sisera looked out of a window through the lattice.
5:31	uww9			0	Like what should those who love Yahweh be?	Those who love Yahweh should be as strong as the sun when it rises.
6:2	urz2			0	What did the people of Israel do because of Midian?	To hide from the cruelty of Midian, the people of Israel made dens and caves in the mountains to live in.
6:3	zj0x			0	What happened any time the Israelites planted their crops?	Any time the Israelites planted their crops, the Midianites, the Amalekites, and the people from the east would attack the Israelites.
6:5	h44e			0	How many Midianites and Amalekites would attack?	So many Midianites and Amalekites would attack that it was impossible to count them.
6:10	iucq			0	In whose land were the people of Israel living?	They were living in the land of the Amorites.
6:11	vcup			0	Why was Gideon separating out the wheat by beating it on the floor in the winepress?	Gideon was working in the winepress in order to hide from the Midianites.
6:13	t48x			0	What did Gideon think Yahweh had done to the people of Israel?	Gideon thought Yahweh had forsaken them and had allowed the people of Midian to rule over them.
6:15	adcn			0	Why did Gideon think he could not deliver Israel?	Gideon thought he could not deliver Israel because his family was the weakest in Manasseh and he was the youngest in his family.
6:18	sqsu			0	Why did Yahweh wait for Gideon?	Yahweh waited for Gideon to bring him an offering.
6:20	mlzy			0	Where did the angel of God tell Gideon to put the meat and unleavened bread?	The angel of God told Gideon to put the meat and unleavened bread on a rock.
6:21	iw2c			0	What happened when the angel of Yahweh stretched out the end of the staff in his hand?	When the angel of Yahweh stretched out the end of the staff in his hand, touching the meat and the unleavened bread, a fire went up out of the rock and consumed the meat and the unleavened bread.
6:23	il3q			0	Why was Gideon afraid when he understood that he had seen the angel of Yahweh?	Gideon was afraid when he understood that he had seen the angel of Yahweh because he thought he would die.
6:26	vxqp			0	What did Yahweh tell Gideon to build on the top of the stronghold?	Yahweh told him to build an altar to Yahweh on the top of the stronghold.
6:27	jrsd			0	Why did Gideon do what Yahweh told him to do at night?	Gideon did what Yahweh told him to do at night because he was too afraid of his father’s household and the men of the city to do it during the day.
6:30	g7hp			0	Why did the men of the town want to put Gideon to death?	The men wanted to put Gideon to death because he tore down the altar of Baal and because he cut down the Asherah beside it.
6:32	rnvb			0	Why was Gideon given the name, “Jerubbaal”?	Gideon was given the name “Jerubbaal” because it meant “Let Baal defend himself” and they said that Baal should be the one to punish him, since it was his altar Gideon had torn down.
6:37	udzq			0	What did Gideon do to find out if Yahweh intended to use him to save Israel?	Gideon put a woolen fleece on the threshing floor. He said that if there was dew only on the fleece, and if it was dry on all the ground, then he would know that Yahweh would use him to save Israel.
6:38	dyim			0	When Gideon squeezed the fleece and wrung out the dew, how much water was there?	When Gideon squeezed the fleece and wrung out the dew, there was enough water to fill a bowl.
6:39	a050			0	What was Gideon’s second test for God?	Gideon’s second test was for God to make the fleece dry, and let there be dew on all the ground around it.
7:2	ct4p			0	Why did Yahweh have the fearful soldiers return?	Yahweh had the fearful soldiers return so that Israel could not boast against Yahweh saying that their own power had saved them.
7:4	dpco			0	Why did Yahweh tell Gideon to take the soldiers down to the water?	Yahweh said that there were still too many soldiers and this would be the way that he would tell Gideon which ones would go with him.
7:5	gyx4			0	How did Yahweh tell Gideon to separate the soldiers?	Yahweh told Gideon to set apart everyone who lapped up the water as a dog laps from those who knelt down to drink.
7:8	lnrt			0	How many soldiers did Gideon keep?	Gideon kept 300 soldiers and sent the rest home.
7:11	eb8h			0	If Gideon was afraid, what would strengthen Gideon’s courage?	If Gideon was afraid, he was told to go down to the camp and listen to what they were saying, and his courage would be strengthened to attack the camp.
7:14	d9e5			0	When one man was telling a dream to his companion, who did the companion say the dream was about?	When one man was telling a dream to his companion, the companion said the dream was about Gideon. God had given him victory over Midian and all their army.
7:16	eyhg			0	What did Gideon give his 300 soldiers?	Gideon gave them all ram’s horns and empty jars, with a torch inside each jar.
7:19	bdr8			0	When did Gideon’s men blow the trumpets and break the jars that were in their hands?	Just as the Midianites were changing the guard, Gideon’s men blew on the ram’s horns and broke the jars that were in their hands.
7:22	stzi			0	When the soldiers blew the three hundred shofars, what did Yahweh do?	When they blew the three hundred shofars, Yahweh set every Midianite man’s sword against his comrades and against all their own army.
7:24	aysh			0	How far did the men of Ephraim take control of the waters?	The men of Ephraim put guards at the shallow river crossings as far as Beth Barah and the Jordan River.
8:1	dkaw			0	Why did the men of Ephraim argue with Gideon?	The men of Ephraim argued with Gideon because he had not called them to help him when he went to fight against Midian.
8:5	rnv1			0	For what did Gideon ask the men of Succoth?	Gideon asked the men of Succoth for loaves of bread for his soldiers.
8:8	wdqt			0	Why did Gideon tell the men of Penuel that he would pull down the tower?	Gideon told the men of Penuel that he would pull down the tower because they would not give his army bread, just as the men of Succoth had refused.
8:11	r1gd			0	Why did Gideon defeat the enemy army past Nobah and Jogbehah?	Gideon defeated the enemy army because they were feeling safe and not expecting an attack.
8:15	o44z			0	Whom did Gideon show to the men of Succoth before he punished them?	Gideon showed Zebah and Zalmunna to the men of Succoth before he punished them.
8:19	etwk			0	What men did Zebah and Zalmunna kill at Tabor?	Zebah and Zalmunna killed Gideon’s brothers.
8:20	ldh8			0	Why did Jether not draw his sword?	Jether did not draw his sword for he was afraid; he was still a young boy.
8:23	hucn			0	Who did Gideon say would rule over the men of Israel?	Gideon said Yahweh would rule over the men of Israel.
8:24	oazw			0	For what did Gideon ask the men of Israel?	Gideon asked them for the earrings from their spoil.
8:27	zs4u			0	What did Gideon make out of the earrings?	Gideon made an sacred garment out of the earrings.
8:27	vyu8			0	What did Israel do to the golden ephod?	Israel worshiped the ephod.
8:33	y9my			0	What happened as soon as Gideon was dead?	As soon as Gideon was dead, the people of Israel turned again and worshiped the Baals.
9:1	w5fv			0	Who was Abimelech’s father?	Abimelech’s father was Gideon who was also called Jerubbaal.
9:3	s8bw			0	Why did the leaders of Shechem agree to follow Abimelech?	They agreed to follow Abimelech because he was their relative.
